"";"Mamiellophyceae";"Bacillariophyta";"Trebouxiophyceae";"Chlorodendrophyceae";"Cryptophyceae";"Chloropicophyceae";"Prymnesiophyceae";"Pelagophyceae";"Phaeophyceae";"Pyramimonadophyceae";"Ulvophyceae";"Cryptophyceae:nucl";"Katablepharidaceae";"Florideophyceae";"Chrysophyceae";"Bolidophyceae";"Dictyochophyceae";"MOCH-3";"MOCH-5";"Haptophyta_Clade_HAP3";"MOCH-2";"NA";"MOCH-1";"Prasino-Clade-9";"Xanthophyceae";"Chlorophyceae";"Haptophyta_Clade_HAP5";"Nephroselmidophyceae";"MOCH-4";"Prasino-Clade-VIII";"Bangiophyceae";"Haptophyta_Clade_HAP4"
"Q4A17";0,25976423803437;0,417554324669791;0,00284050560999858;0;0,03990910382048;0;0,0737111205794631;0,0134924016474933;0;0;0;0,00596506178099702;0,00596506178099702;0,00113620224399943;0,136060218718932;0,0309615111489845;0,00553898593949723;0;0;0;0,00710126402499645;0;0;0;0;0;0;0;0;0;0;0
"Q4F18";0,2612097502257;0,274450797472164;0,016250376166115;0,0406259404152874;0,0944929280770388;0,0767378874510984;0,0252783629250677;0,0231718326813121;0,00421306048751129;0,00872705386698766;0;0,148058982846825;0,0108335841107433;0,00391212759554619;0;0,00511585916340656;0;0;0;0;0;0;0,00210653024375564;0;0;0,00481492627144147;0;0;0;0;0;0
"Q4A18";0,745872345452934;0,0161266503234191;0,0225654960569454;0,0155654665209558;0,0247806952771953;0,00676374161916295;0,0184599935020823;0,0805446436482854;0;0,017898809699619;0;0,00549369406621969;0,00215612724104321;0;0,0230085359009954;0,00239241515786986;0,0109873881324394;0,0023333431786632;0;0,00295359896033317;0,00132911953214992;0;0,000767935729686623;0;0;0;0;0;0;0;0;0
"L1A17";0,833155805170911;0,00726251573545076;0,0175268713082212;0;0,0240631354701269;0,000774668345114748;0,0015493366902295;0,0041154255834221;0,0359252445046964;0;0,0136051128110778;0,00334075723830735;0,00769826667957781;0,0172847874503728;0,0235789677544301;0;0,00813401762370485;0,00198508763435654;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L1F18";0,103323299957;0,0606916886786658;0,0452730511702193;0,0239572455310523;0,0175686467227717;0,00337858590822532;0,00172000737146016;0,00516002211438049;0,389888813809202;0,00479144910621046;0,00939861170833589;0,000860003685730082;0,00165857853676516;0,327907119601941;0,00073714601634007;0;0,00129000552859512;0;0,00239572455310523;0;0;0;0;0;0;0;0;0;0;0;0;0
"L1A18";0,477660564691281;0,0413589823146137;0,0443065466956252;0,36683214396525;0,0241700279242941;0,0124107973937325;0,00359913124418244;0,00384734719205709;0;0;0;0,0110145826869376;0,00291653738752715;0;0,00443686006825939;0;0,00294756438101148;0;0;0;0;0;0;0;0,00449891405522805;0;0;0;0;0;0;0
"L2A17";0,585802546967595;0,0156768797545497;0,00483335434791746;0;0,0408103223637204;0;0,00281595427226495;0,00218551674862354;0,142604967847686;0,00121884587904005;0,00580002521750095;0,00537973353507334;0,0113478754255453;0,00991888370529147;0,123439667128988;0;0,0469886100954062;0,000714495860126928;0;0,000462320850670365;0;0;0;0;0;0;0;0;0;0;0;0
"L2F18";0,463138967377344;0,0321410223478037;0,121082712561007;0,187162856408939;0,0306640123298228;0,00988954533778577;0,00648600051374261;0,0104032879527357;0,0124582584125353;0,00995376316465451;0,00112381197020293;0,0166645260724377;0,00247238633444644;0,084061135371179;0,00292191112252761;0;0,0043025944002055;0,00166966349858721;0,00292191112252761;0;0;0;0;0;0;0;0;0,000481633701515541;0;0;0;0
"L2A18";0,820762458967472;0,0387943897344076;0,0233139361384661;0,0145851984482244;0,0452103849597135;0,00242464935840048;0,00898985377499254;0,0127946881527902;0;0,00604297224709042;0;0,0088779468815279;0,00608027454491197;0;0,0052969262906595;0,0039913458669054;0,00152939421068338;0;0;0;0;0;0,0013055804237541;0;0;0;0;0;0;0;0;0
"L3A17";0,733432835820895;0,00716417910447761;0,00332622601279318;0;0,0293816631130064;0;0,00243070362473348;0,00238805970149254;0,0624307036247335;0,0182089552238806;0,0023454157782516;0,004136460554371;0,0133475479744136;0,00656716417910448;0,101918976545842;0;0,0116844349680171;0,00123667377398721;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L3F18";0,370309207903878;0,0126416491088207;0,0513068731848984;0,0076874893229315;0,0163999772222539;0,00597915836228005;0,00244860771026707;0,00814304424577188;0,0124708160127555;0,0044986048630488;0,00199305278742668;0,00643471328512044;0,00227777461420192;0,486703490689596;0,00347360628665794;0;0,000569443653550481;0,00216388588349183;0,0044986048630488;0;0;0;0;0;0;0;0;0;0;0;0;0
"L3A18";0,660495161900643;0,0770041623871561;0,0505162441213039;0,122898535055949;0,0223525595978161;0,00951402778528569;0,00737877723120169;0,0145413265581923;0;0,00291907670684902;0;0,000216227904211038;0,00502729877290664;0;0,0165954916481972;0,00286501973079626;0,00683820747067409;0;0;0;0,000540569760527596;0;0;0;0;0;0;0;0;0;0;0,000297313368290178
"L4A17";0,751017826791573;0,00438752519862445;0,00549428831179098;0;0,0158109016166647;0,000197636270208309;0,00213447171824973;0,00138345389145816;0,171350646270604;0,00339934384758291;0,00806355982449899;0,00181825368591644;0,00790545080833235;0,015652792600498;0,0100794497806237;0;0,00130439938337484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L4F18";0,670100688100144;0,0192823543132605;0,0407417486296311;0,00590910857987016;0,0279516386113595;0,0055592271507989;0,0056369785794814;0,0206430043152043;0,0239085643198694;0,00820277572600397;0,00606461143723516;0,00606461143723516;0,00361544143373635;0,143412510204875;0,00730863429615519;0,000971892858531276;0,00318780857598258;0,00143840143062629;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L4A18";0,825571577032996;0,0443296960249415;0,0450766432839699;0,000714471291244479;0,0386788776305534;0,0012990387113536;0,00578072226552351;0,00896336710833983;0,00038971161340608;0,001623798389192;0,00159132242140816;0,0124058196934269;0,00571577032995583;0,00012990387113536;0,00155884645362432;0,00149389451805664;0,00376721226292544;0,00038971161340608;0;0,00012990387113536;0;0;0;0;0;0,00038971161340608;0;0;0;0;0;0
