"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Chañaral";"Flamenco";"Huasco";"Pta.Choros";"Quintero";"Las_Cruces";"Total"
"ASV0308";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;613;0;0;715;0;0;44;0;0;45;0;0;0;0;0;78;0;0;0;29;1328;167;1524
"ASV0315";9;19;0;6;49;13;357;116;0;13;88;30;0;171;0;0;82;0;0;31;0;0;25;0;0;7;0;0;0;0;0;0;0;0;0;0;0;360;0;0;0;9;1;31;0;33;0;0;23;10;0;0;0;0;0;0;0;17;0;0;0;0;0;700;309;7;360;107;17;1500
"ASV0316";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;562;0;487;0;0;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;1500
"ASV0325";0;0;67;0;29;0;0;0;0;0;0;68;73;19;0;0;0;0;0;66;0;0;0;42;30;0;40;0;0;48;0;30;0;0;0;58;0;0;0;25;0;0;52;0;57;130;172;18;0;0;14;0;0;71;60;74;61;0;59;0;0;0;77;164;200;206;25;443;402;1440
"ASV0342";184;1;0;8;18;6;25;43;720;6;50;254;16;0;0;1;0;18;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1315;35;10;0;0;0;1360
"ASV0343";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1360;0;0;1360
"ASV0348";0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;977;0;0;0;34;0;124;0;74;0;0;90;0;0;0;0;0;0;0;0;11;0;0;0;0;0;3;0;26;977;322;11;1339
"ASV0349";0;0;24;0;0;0;0;0;0;0;0;0;67;0;31;0;27;0;0;22;0;0;0;0;0;0;45;34;0;42;78;33;0;50;0;64;36;0;0;67;0;0;0;58;65;43;159;73;0;0;0;48;0;60;0;45;67;0;21;0;0;0;78;24;147;346;103;398;319;1337
"ASV0351";0;42;24;0;30;47;0;0;24;0;0;0;151;35;83;58;8;47;0;37;41;0;59;140;0;0;61;0;0;73;59;0;60;66;0;68;0;0;0;0;0;35;0;0;0;14;0;35;0;0;0;0;0;0;0;0;16;0;0;0;0;0;9;167;659;387;0;84;25;1322
"ASV0352";0;60;203;0;61;123;18;0;177;0;126;152;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;122;10;0;78;0;0;39;920;94;0;0;0;307;1321
"ASV0355";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;83;0;0;67;0;92;0;105;101;113;0;0;0;0;0;0;88;0;0;121;85;0;0;0;0;106;23;0;94;64;34;67;0;0;215;411;209;473;1308
"ASV0357";0;5;24;0;1;19;0;0;66;0;42;34;835;0;10;61;0;4;23;0;0;52;0;8;33;0;0;28;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;20;7;191;993;69;0;0;37;1290
"ASV0361";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;50;0;79;213;0;0;569;0;11;270;0;0;0;0;0;0;1273;1273
"ASV0364";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;744;0;20;34;0;2;0;0;446;8;0;0;0;0;0;2;1258;1260
