"From"	"to"	"rValue"	"pValue"	"n"	"colMeans..t.."	"From_type"	"To_type"
"69"	"ASV_1013"	"ASV_89"	0.805044337625058	0.00158249627679413	4283	0.00108179035842612	"Other"	"Shared"
"70"	"ASV_1013"	"ASV_96"	0.677161029242845	0.0155614029550565	4284	0.00108179035842612	"Other"	"Other"
"71"	"ASV_1013"	"ASV_126"	0.677161029242845	0.0155614029550565	4285	0.00108179035842612	"Other"	"Other"
"72"	"ASV_1013"	"ASV_134"	0.699004933411969	0.0114238993243967	4286	0.00108179035842612	"Other"	"Other"
"73"	"ASV_1013"	"ASV_206"	0.80822445425759	0.00146592695578519	4287	0.00108179035842612	"Other"	"Shared"
"74"	"ASV_1013"	"ASV_312"	0.699004933411969	0.0114238993243967	4288	0.00108179035842612	"Other"	"Shared"
"75"	"ASV_1013"	"ASV_381"	0.987951807228916	1.9593826644181e-09	4289	0.00108179035842612	"Other"	"Shared"
"76"	"ASV_1013"	"ASV_395"	0.895600070934086	8.17798722781158e-05	4290	0.00108179035842612	"Other"	"Shared"
"77"	"ASV_1013"	"ASV_405"	0.699004933411969	0.0114238993243967	4291	0.00108179035842612	"Other"	"Other"
"78"	"ASV_1013"	"ASV_424"	0.677161029242845	0.0155614029550565	4292	0.00108179035842612	"Other"	"Other"
"79"	"ASV_1013"	"ASV_442"	0.630547667861664	0.0279363192412668	4293	0.00108179035842612	"Other"	"Shared"
"80"	"ASV_1013"	"ASV_456"	0.766187853913026	0.00365935528145398	4294	0.00108179035842612	"Other"	"Shared"
"81"	"ASV_1013"	"ASV_464"	0.960729459988738	6.88565863661813e-07	4295	0.00108179035842612	"Other"	"Shared"
"82"	"ASV_1013"	"ASV_516"	0.766187853913026	0.00365935528145398	4296	0.00108179035842612	"Other"	"Other"
"83"	"ASV_1013"	"ASV_612"	0.775458598003903	0.00304014664190641	4297	0.00108179035842612	"Other"	"Other"
"84"	"ASV_1013"	"ASV_624"	0.677161029242845	0.0155614029550565	4298	0.00108179035842612	"Other"	"Other"
"85"	"ASV_1013"	"ASV_717"	0.849552311770607	0.000468871081691365	4299	0.00108179035842612	"Other"	"Other"
