"colMeans..t.."	"Node"	"Node_Category"
"ASV1138"	0.00033596988978136	"ASV1138"	"Other"
"ASV1139"	0.000285866736776811	"ASV1139"	"Other"
"ASV1160"	0.000370021896522054	"ASV1160"	"Other"
"ASV1162"	0.000209753321864326	"ASV1162"	"Other"
"ASV1170"	0.00022479838639369	"ASV1170"	"Other"
"ASV1191"	0.000222379455031586	"ASV1191"	"Shared"
"ASV1195"	0.000173064065119548	"ASV1195"	"Other"
"ASV1207"	0.000118353797949669	"ASV1207"	"Shared"
"ASV1214"	0.000163180914087201	"ASV1214"	"Other"
"ASV1219"	0.000227433229590122	"ASV1219"	"Other"
"ASV1229"	0.0002176350659735	"ASV1229"	"Other"
"ASV1244"	0.000153637809694955	"ASV1244"	"Other"
"ASV1251"	0.000228595573942628	"ASV1251"	"Other"
"ASV1255"	0.000200417419598798	"ASV1255"	"Other"
"ASV1257"	0.000470699256240995	"ASV1257"	"Other"
"ASV1272"	0.000294232892807123	"ASV1272"	"Shared"
"ASV1276"	0.000182035921619681	"ASV1276"	"Other"
"ASV1281"	0.000210026876937627	"ASV1281"	"Other"
"ASV1283"	0.000182934787475685	"ASV1283"	"Other"
"ASV1287"	0.000232711449226236	"ASV1287"	"Other"
"ASV1293"	0.000137040357503398	"ASV1293"	"Other"
"ASV1315"	0.00013487769943779	"ASV1315"	"Other"
"ASV1335"	0.000237236206805416	"ASV1335"	"Shared"
"ASV1339"	0.000290038745183978	"ASV1339"	"Other"
"ASV1349"	0.00016289155235693	"ASV1349"	"Other"
"ASV1351"	9.88410100472117e-05	"ASV1351"	"Other"
"ASV1358"	0.000107448812168732	"ASV1358"	"Other"
"ASV1371"	0.000163829107312178	"ASV1371"	"Other"
"ASV1374"	0.000121160036512654	"ASV1374"	"Other"
"ASV1389"	0.000338965015339172	"ASV1389"	"Shared"
"ASV1403"	0.000238172433511711	"ASV1403"	"Shared"
"ASV1411"	9.81871342609266e-05	"ASV1411"	"Shared"
"ASV1412"	0.000198108339140249	"ASV1412"	"Shared"
"ASV1421"	0.000156399142056246	"ASV1421"	"Other"
"ASV1436"	0.000305653555788806	"ASV1436"	"Other"
"ASV1465"	0.000173497288679136	"ASV1465"	"Other"
"ASV1468"	0.000366630946945367	"ASV1468"	"Other"
"ASV1473"	0.00013179121280049	"ASV1473"	"Other"
"ASV1475"	0.000122156491437052	"ASV1475"	"Other"
"ASV1480"	0.000147617551165989	"ASV1480"	"Other"
"ASV1506"	0.000148618399109333	"ASV1506"	"Shared"
"ASV1508"	9.88968022403404e-05	"ASV1508"	"Other"
"ASV1517"	0.000382564181345965	"ASV1517"	"Other"
"ASV1522"	0.00026982607311199	"ASV1522"	"Other"
"ASV1532"	9.44464172226739e-05	"ASV1532"	"Other"
"ASV1533"	0.00014886355562573	"ASV1533"	"Other"
"ASV1552"	0.000127781016441337	"ASV1552"	"Other"
"ASV1573"	0.000108202711087436	"ASV1573"	"Other"
"ASV1575"	0.000155669877353106	"ASV1575"	"Other"
"ASV1581"	0.000108468024274716	"ASV1581"	"Other"
"ASV1593"	0.000121244377079564	"ASV1593"	"Shared"
"ASV1595"	0.000100420272077589	"ASV1595"	"Other"
"ASV1606"	0.000113443199496743	"ASV1606"	"Other"
"ASV1608"	0.000141400786155241	"ASV1608"	"Other"
"ASV1610"	8.71924463282966e-05	"ASV1610"	"Other"
"ASV1616"	0.000336124419141539	"ASV1616"	"Other"
"ASV1619"	0.000188327110724027	"ASV1619"	"Other"
"ASV1628"	0.000260832898875338	"ASV1628"	"Other"
"ASV1636"	0.000209584087165286	"ASV1636"	"Other"
"ASV1642"	0.000363121128788233	"ASV1642"	"Other"
"ASV1649"	0.000135883653781044	"ASV1649"	"Other"
"ASV1656"	0.000139652788940389	"ASV1656"	"Other"
"ASV1662"	0.000109705169696328	"ASV1662"	"Other"
"ASV1676"	0.000273569742631795	"ASV1676"	"Other"
"ASV1698"	0.000199151997785364	"ASV1698"	"Unique"
"ASV1711"	0.000120395069423402	"ASV1711"	"Unique"
"ASV1721"	0.000105238301687109	"ASV1721"	"Other"
"ASV1742"	0.000140433073375009	"ASV1742"	"Shared"
"ASV1761"	0.000119980302754247	"ASV1761"	"Other"
"ASV1763"	0.000111689300748494	"ASV1763"	"Other"
"ASV1773"	0.000230219088302054	"ASV1773"	"Other"
"ASV1791"	0.000137124401310706	"ASV1791"	"Other"
"ASV1795"	0.000108670121728876	"ASV1795"	"Other"
"ASV1808"	0.000269630256464019	"ASV1808"	"Other"
"ASV1817"	0.000247011416103794	"ASV1817"	"Other"
"ASV1827"	8.84663041404171e-05	"ASV1827"	"Other"
"ASV1839"	0.000232957423430996	"ASV1839"	"Other"
"ASV1846"	6.82132695868108e-05	"ASV1846"	"Other"
"ASV1857"	8.9423285253131e-05	"ASV1857"	"Other"
"ASV1859"	6.85588821755866e-05	"ASV1859"	"Other"
"ASV1874"	0.000139192671179253	"ASV1874"	"Other"
"ASV1886"	0.000135006275771984	"ASV1886"	"Unique"
"ASV1895"	0.000151227275325439	"ASV1895"	"Other"
"ASV1906"	0.000123853903910791	"ASV1906"	"Other"
"ASV1922"	8.38625533465344e-05	"ASV1922"	"Other"
"ASV1924"	0.000209674260496766	"ASV1924"	"Other"
"ASV1933"	0.000141992142601294	"ASV1933"	"Other"
"ASV1934"	0.000119241201452048	"ASV1934"	"Other"
"ASV1937"	0.000123073010282505	"ASV1937"	"Other"
"ASV1955"	7.83808159365413e-05	"ASV1955"	"Other"
"ASV1967"	0.00021642823259913	"ASV1967"	"Other"
"ASV1984"	7.56613838994558e-05	"ASV1984"	"Other"
"ASV1985"	0.000124746901948222	"ASV1985"	"Other"
"ASV1990"	7.2382936229578e-05	"ASV1990"	"Other"
"ASV1998"	9.09872949314453e-05	"ASV1998"	"Other"
"ASV2001"	7.81265413672914e-05	"ASV2001"	"Other"
"ASV2003"	0.00021188835945499	"ASV2003"	"Other"
"ASV2004"	0.000105934583055811	"ASV2004"	"Other"
"ASV2016"	0.000120414097864311	"ASV2016"	"Other"
"ASV2036"	0.000118863227078495	"ASV2036"	"Other"
"ASV2046"	5.41779489550057e-05	"ASV2046"	"Other"
"ASV2055"	9.72940179293492e-05	"ASV2055"	"Other"
"ASV2066"	6.6541057300518e-05	"ASV2066"	"Other"
"ASV2080"	7.46535514893808e-05	"ASV2080"	"Other"
"ASV2106"	0.000218686387745384	"ASV2106"	"Other"
"ASV2108"	7.18661565801897e-05	"ASV2108"	"Other"
"ASV2122"	8.99928296084118e-05	"ASV2122"	"Other"
"ASV2123"	0.000366619578203723	"ASV2123"	"Other"
"ASV2128"	6.83996621824703e-05	"ASV2128"	"Other"
"ASV2164"	4.96400246084521e-05	"ASV2164"	"Other"
"ASV2165"	4.85544381066661e-05	"ASV2165"	"Other"
"ASV2178"	6.69144329958851e-05	"ASV2178"	"Other"
"ASV2208"	0.000340656699782694	"ASV2208"	"Other"
"ASV2210"	5.86122849141286e-05	"ASV2210"	"Other"
"ASV2222"	0.000102998035114407	"ASV2222"	"Unique"
"ASV2249"	5.44670551271609e-05	"ASV2249"	"Other"
"ASV2255"	0.000229326608623695	"ASV2255"	"Other"
"ASV2283"	5.58848593686772e-05	"ASV2283"	"Other"
"ASV2288"	6.30769634592059e-05	"ASV2288"	"Other"
"ASV2290"	3.72199276339969e-05	"ASV2290"	"Other"
"ASV2291"	4.76563451123792e-05	"ASV2291"	"Other"
"ASV2292"	8.4939553664136e-05	"ASV2292"	"Other"
"ASV2317"	4.52689555155905e-05	"ASV2317"	"Other"
"ASV2337"	0.000114320607652628	"ASV2337"	"Other"
"ASV2338"	0.000121586350572817	"ASV2338"	"Other"
"ASV2352"	7.80302619199481e-05	"ASV2352"	"Other"
"ASV2354"	7.2419832831296e-05	"ASV2354"	"Other"
"ASV2376"	4.92587498436628e-05	"ASV2376"	"Other"
"ASV2404"	0.000182331231196623	"ASV2404"	"Other"
"ASV2406"	3.54516482914877e-05	"ASV2406"	"Other"
"ASV2434"	6.26722026472145e-05	"ASV2434"	"Other"
"ASV2435"	4.87262193209097e-05	"ASV2435"	"Other"
"ASV2438"	0.00012276619264564	"ASV2438"	"Other"
"ASV2454"	0.000235916378043477	"ASV2454"	"Other"
"ASV2465"	7.50840288734828e-05	"ASV2465"	"Other"
"ASV2534"	7.28873200542938e-05	"ASV2534"	"Other"
"ASV2548"	5.76930104033733e-05	"ASV2548"	"Other"
"ASV2574"	3.76949835726038e-05	"ASV2574"	"Other"
"ASV2590"	0.000145198369567093	"ASV2590"	"Shared"
"ASV2591"	6.16118972149088e-05	"ASV2591"	"Other"
"ASV2592"	4.27067930558952e-05	"ASV2592"	"Other"
"ASV2595"	4.91279978428644e-05	"ASV2595"	"Other"
"ASV2615"	4.34072618140099e-05	"ASV2615"	"Other"
"ASV2620"	7.80974112405944e-05	"ASV2620"	"Unique"
"ASV2651"	4.61987158163894e-05	"ASV2651"	"Other"
"ASV2653"	7.57732519666423e-05	"ASV2653"	"Unique"
"ASV2655"	0.000137179144258826	"ASV2655"	"Other"
"ASV2670"	0.000287852541053139	"ASV2670"	"Other"
"ASV2705"	3.01195050460862e-05	"ASV2705"	"Other"
"ASV2714"	0.000222527543889127	"ASV2714"	"Other"
"ASV2759"	3.9893139818095e-05	"ASV2759"	"Other"
"ASV2760"	9.59936582254179e-05	"ASV2760"	"Unique"
"ASV2761"	0.000170189696260375	"ASV2761"	"Unique"
"ASV2777"	9.46992909493682e-05	"ASV2777"	"Other"
"ASV2803"	4.47174170639824e-05	"ASV2803"	"Other"
"ASV2805"	0.000135491699407099	"ASV2805"	"Other"
"ASV2813"	7.23694917419074e-05	"ASV2813"	"Other"
"ASV2814"	5.24016078035939e-05	"ASV2814"	"Other"
"ASV2815"	6.36926434171575e-05	"ASV2815"	"Other"
"ASV2830"	6.67789458434068e-05	"ASV2830"	"Unique"
"ASV2833"	3.7986660744697e-05	"ASV2833"	"Other"
"ASV2840"	5.6282079151379e-05	"ASV2840"	"Other"
"ASV2854"	3.51260355701569e-05	"ASV2854"	"Other"
"ASV2872"	4.62548364045621e-05	"ASV2872"	"Other"
"ASV2881"	6.47785426191669e-05	"ASV2881"	"Unique"
"ASV2909"	3.17019383385443e-05	"ASV2909"	"Other"
"ASV2933"	0.00024964701281085	"ASV2933"	"Other"
"ASV2939"	8.66815756741853e-05	"ASV2939"	"Other"
"ASV2972"	4.8905441608217e-05	"ASV2972"	"Other"
"ASV2973"	2.89341500928477e-05	"ASV2973"	"Other"
"ASV2992"	0.000108823291395658	"ASV2992"	"Other"
"ASV2993"	3.37536501700075e-05	"ASV2993"	"Other"
"ASV2996"	8.20590949346314e-05	"ASV2996"	"Unique"
"ASV3045"	3.35244947206159e-05	"ASV3045"	"Other"
"ASV3046"	3.25729530228252e-05	"ASV3046"	"Other"
"ASV3073"	3.63886681626212e-05	"ASV3073"	"Other"
"ASV3106"	7.95247346227691e-05	"ASV3106"	"Other"
"ASV3110"	5.26897192085892e-05	"ASV3110"	"Unique"
"ASV3142"	3.48679311731728e-05	"ASV3142"	"Other"
"ASV3172"	6.29218467655765e-05	"ASV3172"	"Other"
"ASV3215"	9.19348197013517e-05	"ASV3215"	"Other"
"ASV3216"	0.000100135298442035	"ASV3216"	"Other"
"ASV3220"	0.000232502255235143	"ASV3220"	"Other"
"ASV3252"	5.09330942873441e-05	"ASV3252"	"Unique"
"ASV3255"	3.64362328632805e-05	"ASV3255"	"Other"
"ASV3297"	2.83343349432509e-05	"ASV3297"	"Other"
"ASV3300"	2.80033708015069e-05	"ASV3300"	"Other"
"ASV3302"	6.92418836799215e-05	"ASV3302"	"Other"
"ASV3313"	3.20447701462885e-05	"ASV3313"	"Other"
