"";"Fungi";"Chlorophyta";"Dinoflagellata";"Metazoa";"Ochrophyta";"Cryptophyta";"Ciliophora";"Haptophyta";"Picozoa";"Stramenopiles_X";"Sagenista";"Pseudofungi";"Cryptophyta:nucl";"Opalozoa";"Katablepharidophyta";"Prasinodermophyta";"Rhodophyta";"Cercozoa";"Telonemia";"Streptophyta";"Apicomplexa";"Centroheliozoa";"Radiolaria";"Choanoflagellida";"Conosa";"Mesomycetozoa";"Perkinsea";"Alveolata_X";"Chrompodellids";"Metamonada";"Lobosa";"Apusomonadidae";"Hilomonadea";"Foraminifera";"Opisthokonta_X";"Chlorophyta:plas";"Breviatea";"NA";"NA.1";"NA.2";"NA.3";"NA.4";"NA.5";"NA.6";"NA.7";"NA.8";"NA.9";"NA.10";"NA.11";"NA.12";"NA.13";"NA.14";"NA.15";"NA.16";"NA.17";"NA.18";"NA.19";"NA.20";"NA.21";"NA.22";"NA.23";"NA.24";"NA.25";"NA.26";"NA.27";"NA.28";"NA.29";"NA.30";"NA.31"
"C4F18";3520;2233;8139;1979;23132;0;0;0;48;42;4;37;3;5;35;0;42;0;23;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4930;1156;18;122;1715;457;219;629;127;19;0;1067;75;14;8;0;5;0;109;0;3;40;0;0;0;0;0;6;0;0;8;0
"C4A18";3465;8276;12246;3322;10476;152;93;123;183;136;191;104;155;146;48;0;34;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4173;1136;89;20;878;306;288;1433;470;107;0;228;401;0;24;0;59;22;55;0;12;89;0;0;0;22;31;8;0;0;0;0
"F1A17";7483;3989;8041;1248;1714;507;340;399;716;587;48;503;40;48;1113;151;837;97;792;106;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;10306;1280;2280;10;1095;573;672;1377;238;0;26;126;145;6;0;0;128;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0
"F1F18";6506;1479;14117;1309;25852;119;0;0;43;0;19;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402;168;112;3;2039;79;77;419;122;45;14;185;18;8;0;0;9;6;21;0;30;0;0;0;0;0;9;0;0;0;0;0
"F1A18";4339;18745;23922;1205;1639;299;241;208;197;131;141;113;109;99;9;83;10;65;10;41;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;676;207;220;0;795;78;158;182;37;443;16;61;59;3;53;0;27;18;46;0;0;0;0;3;0;0;0;0;0;0;0;0
"F2A17";20068;6012;9889;1486;1618;193;124;178;213;136;84;161;83;59;71;58;61;43;56;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;501;980;2601;48;1417;194;185;1948;85;14;20;303;116;0;3;0;280;36;157;83;18;0;6;0;0;0;0;0;0;0;0;0
"F2F18";10824;3619;18469;4400;16061;85;81;41;12;10;17;21;15;34;0;8;0;15;0;20;0;0;0;0;0;0;0;1;0;0;9;0;0;0;0;0;0;406;240;193;16;2887;137;97;842;222;79;52;284;46;2;23;0;9;12;34;0;16;0;0;0;0;0;11;13;0;0;0;0
"F2A18";1177;25294;17512;1006;2719;233;174;172;132;85;153;90;97;106;8;47;4;51;7;44;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4054;227;271;13;2132;91;203;298;49;111;4;77;62;0;4;0;24;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3A17";33924;2941;8550;1834;375;104;0;0;80;69;25;59;26;25;24;0;23;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;538;327;617;7;385;76;37;542;46;0;0;88;14;0;0;0;108;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3F18";2920;5221;27730;5457;6487;382;344;308;110;64;65;54;72;54;0;36;0;31;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1166;613;861;60;5399;307;138;1575;605;91;23;550;79;4;0;0;7;15;235;0;9;0;0;5;0;0;15;24;0;0;0;0
"F3A18";10000;17594;27489;523;916;132;116;86;62;43;53;38;44;64;0;41;0;15;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;597;106;83;0;720;58;109;75;28;711;75;47;10;5;71;0;4;15;14;11;5;0;0;0;0;0;0;0;0;0;0;0
"F4A17";40262;1588;4271;163;150;0;91;0;92;72;9;85;5;11;60;0;52;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;194;402;0;325;20;23;173;21;0;31;27;32;8;5;0;18;22;9;0;19;0;0;0;0;3;0;0;0;0;0;0
"F4F18";4887;5482;29306;4470;6167;366;325;267;117;89;66;79;33;62;0;59;0;29;0;39;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;796;551;1031;29;5564;387;191;1366;549;63;27;701;67;0;3;0;26;43;251;0;14;0;0;0;0;6;21;22;0;0;0;0
"F4A18";4984;16597;21736;867;2533;508;436;389;206;153;219;128;163;152;7;139;8;111;6;117;0;0;0;0;0;6;4;0;3;0;0;0;0;0;0;0;0;2547;361;299;0;1180;140;348;330;65;184;0;68;121;0;9;0;41;25;47;0;0;0;0;0;0;2;0;0;0;0;2;0
"H1A17";7629;28293;13279;907;1580;88;73;55;92;58;35;58;32;34;52;0;33;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;903;2971;1127;0;1364;209;82;1116;14;123;541;188;93;2;0;0;5;29;6;0;21;0;0;0;3;0;0;0;0;0;0;0
"H1F18";3181;42851;8108;2031;1608;152;161;138;104;64;60;57;32;54;0;0;0;0;0;0;0;0;0;0;0;4;4;8;0;0;0;0;0;0;0;0;0;2372;378;327;0;1344;122;148;368;334;46;195;172;95;12;4;0;0;7;17;0;8;0;0;0;0;0;35;0;0;0;0;0
"H1A18";505;32083;14971;5647;3010;286;192;188;83;71;83;56;76;67;0;61;0;57;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3023;632;523;0;1825;178;295;450;26;56;195;131;104;0;4;0;8;231;34;66;0;0;90;3;3;0;0;0;0;0;0;0
"H2A17";5342;27140;13307;392;830;80;55;75;47;34;47;41;26;22;37;0;28;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;822;1856;1088;0;1287;169;60;1054;0;18;31;145;84;0;0;0;3;21;0;0;8;66;0;0;2;2;5;16;0;0;0;0
"H2F18";1385;36487;11931;545;1533;329;213;216;83;79;86;72;70;55;0;0;0;0;0;0;0;0;15;21;23;15;4;0;4;0;1;0;0;0;0;0;0;4532;453;250;0;1930;195;377;291;217;41;42;148;128;10;0;0;0;0;40;0;15;0;0;0;0;0;3;0;0;0;0;0
"H2A18";264;29723;16837;4548;3325;246;227;159;137;93;145;85;84;84;0;73;0;50;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1808;526;463;10;1488;197;436;370;29;69;205;145;110;3;4;0;5;116;90;0;0;0;64;0;0;2;0;0;0;0;0;0
"H3A17";17191;26088;6578;2066;1698;242;203;168;111;105;126;109;100;119;6;59;6;52;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;1016;904;0;1648;376;165;530;0;47;89;84;158;53;0;0;4;12;41;0;8;0;2;5;0;0;0;0;0;10;0;0
"H3F18";2724;50887;8233;268;1889;240;202;193;101;82;163;54;109;107;0;0;0;0;0;0;0;0;0;0;0;13;14;9;9;0;0;0;0;0;0;0;0;3187;594;253;11;1894;136;400;211;193;70;7;158;162;1038;0;0;0;0;34;0;49;0;0;0;0;0;33;11;0;0;0;0
"H3A18";1251;27890;12816;6201;2210;328;238;268;90;64;107;70;71;85;0;60;0;52;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3409;376;391;0;1170;162;205;254;52;84;88;64;99;2;27;0;11;56;50;6;4;3;54;0;2;0;0;0;0;0;0;0
"H4A17";6349;29178;5259;1977;3737;221;166;200;144;128;159;107;130;117;9;66;2;65;4;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;466;1225;1025;2;1042;235;116;318;0;56;130;82;133;0;0;0;0;7;11;46;12;0;7;43;6;4;2;0;0;7;0;0
"H4F18";1959;44954;8304;201;1871;189;148;127;51;44;124;38;78;77;0;0;0;0;0;0;0;0;18;19;9;15;6;10;11;0;0;0;0;0;0;0;0;2807;405;261;8;2288;79;274;130;127;75;6;34;157;4;0;0;0;0;5;0;17;0;0;0;0;0;14;22;0;0;0;0
"H4A18";324;33821;10625;1042;5261;377;306;229;221;140;200;159;173;123;0;68;0;52;0;48;0;0;0;0;0;3;3;0;3;0;0;0;0;0;0;0;0;3781;880;286;0;1867;228;413;378;15;135;64;58;269;0;3;0;11;26;173;0;0;0;12;0;0;0;0;0;0;0;0;0
"P1F18";6913;26322;8053;292;3512;191;121;116;112;88;99;96;80;76;0;0;0;0;0;0;0;0;32;35;21;0;0;5;0;0;7;0;0;0;6;0;0;8193;102;78;0;460;62;193;59;260;42;20;45;46;0;0;0;0;0;37;0;0;0;0;0;0;0;19;5;0;0;0;2
"P1A18";10496;4339;10042;5246;15856;74;54;52;56;42;24;35;17;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2677;345;417;21;2012;522;118;1560;38;344;2801;419;98;0;51;0;0;2;341;0;23;0;0;0;3;17;19;0;0;0;0;0
"P2F18";3399;25059;11051;158;3154;348;257;238;126;93;232;76;202;169;0;0;0;0;0;0;0;0;38;26;25;4;4;8;2;0;7;0;11;0;4;0;0;5537;306;195;3;634;177;317;299;389;57;0;129;138;43;0;0;0;0;120;0;0;0;0;0;0;0;35;0;0;0;2;0
"P3F18";2002;30832;9356;63;3675;429;329;317;103;86;203;86;154;138;0;0;0;0;0;0;70;0;19;11;10;8;1;1;4;0;0;0;18;0;1;0;0;7891;268;182;3;602;222;360;624;178;56;0;75;183;2;5;0;0;2;56;0;0;0;0;0;3;0;0;0;0;0;0;0
"P4F18";3375;25609;13898;23;3716;188;141;131;68;69;204;68;144;113;0;0;0;0;0;0;0;0;12;9;8;0;0;0;0;0;0;0;0;0;0;0;0;9980;154;206;9;905;155;269;197;406;98;0;87;110;0;0;0;0;0;65;0;0;0;0;0;0;0;9;0;15;0;0;0
"Re1A17";14126;2460;11739;5560;6577;59;74;0;55;30;22;40;30;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1742;681;628;49;3269;623;57;644;45;67;605;356;14;3;131;0;33;63;291;0;9;0;38;0;2;20;0;0;0;0;0;0
"Re1F18";30385;28009;1783;4776;2753;163;111;105;0;33;0;7;11;4;0;0;0;0;0;0;0;0;0;0;0;0;12;0;5;0;0;0;0;0;0;0;0;2961;16;40;0;245;19;155;1417;0;50;69;15;0;107;15;0;0;5;0;0;6;0;0;20;39;18;6;10;0;0;0;0
"L1A17";20265;17882;7473;4689;1729;127;73;98;86;46;10;43;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4824;32;13;0;281;56;72;589;159;10;409;375;8;28;0;0;8;0;27;0;5;0;2;3;136;4;13;0;0;0;0;0
"L1F18";11552;3106;12549;11333;7533;114;59;0;45;0;2;37;0;4;8;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;379;28;32;0;419;307;14;81;27;58;5356;229;23;6;176;0;0;0;43;0;72;0;0;0;9;3;0;0;0;0;0;0
"L1A18";2372;29092;7547;1281;1886;143;104;111;110;83;0;86;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9373;121;207;7;137;0;355;162;121;0;0;210;0;989;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0
"L2A17";6163;14333;7339;12914;7714;202;166;158;157;131;37;105;10;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3937;78;16;0;128;52;128;482;271;10;255;141;14;0;0;0;0;0;33;2;0;0;0;0;6;244;0;0;0;0;0;0
"L2F18";12376;24715;14667;7637;2112;215;178;165;86;76;16;51;14;6;11;0;4;0;10;0;0;0;0;0;0;0;0;1;0;0;0;22;0;0;0;0;0;1497;203;261;0;2193;245;519;511;77;16;2639;445;94;6;50;0;0;0;66;0;37;0;0;0;56;46;3;0;0;0;0;0
"L2A18";743;23333;9121;1710;1741;346;297;300;92;69;0;53;0;0;0;16;0;20;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11368;241;31;0;429;116;238;302;139;0;0;307;0;414;0;0;0;0;268;0;115;0;0;0;0;0;0;0;0;0;0;0
"L3A17";5200;17971;9461;2502;4490;115;93;85;150;107;10;114;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8121;63;8;0;97;66;97;276;325;5;166;158;2;0;3;0;7;0;77;0;0;0;0;0;0;0;17;0;0;0;0;0
"L3F18";16429;7747;5849;13020;800;74;46;49;25;31;3;22;5;3;2;0;6;0;0;0;0;0;0;0;0;9;7;0;1;0;0;0;0;0;5;0;0;381;43;59;0;1287;110;113;256;40;16;8710;123;24;0;39;0;0;3;30;0;18;0;0;0;4;13;0;0;54;0;2;0
"L3A18";769;31332;9191;868;4357;166;138;131;98;121;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12929;284;32;0;997;15;8;0;186;27;0;1025;0;486;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0
"L4A17";18072;19482;5025;6863;4848;67;39;52;92;72;9;52;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3231;56;10;0;118;84;46;537;202;0;430;116;13;3;10;0;4;0;11;0;0;0;0;6;0;6;6;0;0;0;0;0
"L4F18";10320;18993;9510;10826;2048;129;138;151;84;68;10;53;12;9;14;0;20;0;12;0;0;0;0;0;0;4;9;0;6;0;0;0;0;0;0;0;0;828;145;258;8;1574;202;156;380;93;46;3850;208;89;112;47;0;0;0;78;0;21;0;0;0;17;12;16;0;0;0;0;0
"L4A18";579;27092;9398;835;1944;345;262;252;77;76;12;73;18;7;8;9;7;8;1;11;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;17;0;14141;184;144;48;304;158;384;176;176;0;10;397;15;27;0;0;0;7;115;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q1A17";11273;309;6091;17937;3304;127;80;117;0;0;22;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3009;93;319;4394;233;774;146;1106;102;7;544;925;29;10;14;0;0;24;105;0;2;0;0;0;0;0;17;0;0;16;0;0
"Q1F18";36637;315;16561;7976;538;0;90;22;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;22;0;164;0;211;54;0;0;13;48;2;44;867;0;0;0;0;0;30;0;0;0;3;0;0;0;0;0;0;0
"Q2A17";5062;3008;6973;2582;5799;122;91;77;33;27;24;45;12;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;6174;370;3265;2032;2354;2989;58;2416;78;21;17;1119;19;0;0;0;0;6;100;0;6;0;0;0;0;0;16;12;0;0;0;0
"Q2F18";57706;4861;4646;823;1142;104;87;81;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1564;91;121;6;1230;14;893;711;16;46;0;269;0;105;425;0;0;0;0;0;94;0;0;0;0;13;0;0;0;0;0;0
"Q3A17";4706;1807;4688;1511;5209;192;138;114;11;0;28;7;0;24;0;10;0;0;0;6;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;8188;486;6050;2186;3111;3219;173;2126;106;25;0;1284;0;0;0;0;0;12;94;0;0;0;12;0;0;0;13;0;0;0;0;0
"Q3F18";47492;6342;4394;7861;1820;850;667;677;56;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1398;126;414;0;907;48;1144;514;25;51;19;391;6;26;120;0;0;0;29;0;51;0;0;0;0;0;0;0;11;0;0;0
"Q3A18";1266;16589;19272;879;6124;238;220;207;82;52;198;49;130;139;0;35;0;26;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;23;8043;1088;59;70;966;269;311;241;251;42;3;232;186;2089;0;0;83;3;177;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q4A17";6816;1816;4476;2891;4294;70;64;43;34;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;2806;538;8154;2737;3794;4145;42;2837;42;43;8;1424;21;5;0;0;0;71;89;0;0;0;20;0;0;0;11;0;0;0;0;0
"Q4F18";53350;1370;5740;942;946;102;55;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;68;170;0;930;31;501;756;36;0;13;309;0;11;310;0;7;11;0;0;17;0;0;0;0;0;4;0;0;0;0;0
"Q4A18";952;27492;12572;799;4679;148;121;104;127;87;66;84;52;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6974;705;271;0;317;310;186;97;100;0;0;402;27;115;0;0;0;24;167;26;0;0;0;0;0;0;0;0;0;0;0;0
"Qc1A17";7419;2293;5308;4084;2988;51;0;45;32;29;26;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;26;977;1563;1050;871;28;1132;17;10;125;165;9;0;0;0;0;250;19;3;5;0;11;0;42;7;8;15;0;0;0;0
"Qc2A17";22998;1700;3303;2530;7368;80;0;0;0;33;0;9;20;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1953;83;1002;3794;1838;1251;15;1090;0;47;2749;324;29;0;0;0;3;150;52;160;3;0;9;128;4;69;133;200;0;0;0;0
"Z1A18";4339;18745;23922;1205;1639;299;241;208;197;131;141;113;109;99;9;83;10;65;10;41;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;676;207;220;0;795;78;158;182;37;443;16;61;59;3;53;0;27;18;46;0;0;0;0;3;0;0;0;0;0;0;0;0
"Z2A18";1251;27890;12816;6201;2210;328;238;268;90;64;107;70;71;85;0;60;0;52;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3409;376;391;0;1170;162;205;254;52;84;88;64;99;2;27;0;11;56;50;6;4;3;54;0;2;0;0;0;0;0;0;0
"Z3A18";4984;16597;21736;867;2533;508;436;389;206;153;219;128;163;152;7;139;8;111;6;117;0;0;0;0;0;6;4;0;3;0;0;0;0;0;0;0;0;2547;361;299;0;1180;140;348;330;65;184;0;68;121;0;9;0;41;25;47;0;0;0;0;0;0;2;0;0;0;0;2;0
"Z4A18";10000;17594;27489;523;916;132;116;86;62;43;53;38;44;64;0;41;0;15;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;597;106;83;0;720;58;109;75;28;711;75;47;10;5;71;0;4;15;14;11;5;0;0;0;0;0;0;0;0;0;0;0
"Z5A18";7941;16216;17969;2125;3460;159;109;101;85;68;75;76;67;63;23;47;19;34;18;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2420;467;79;0;482;112;96;237;215;393;4;97;174;0;16;0;12;62;15;64;5;0;0;0;0;0;0;0;0;0;0;0
