"From"	"to"	"rValue"	"pValue"
"ASV0025"	"ASV0145"	0.884759746420894	0.0125456741103338
"ASV0025"	"ASV0278"	0.884759746420894	0.0125456741103338
"ASV0028"	"ASV0020"	0.948016665352158	2.9997302199182e-05
"ASV0029"	"ASV0001"	0.846925720824159	0.00198836867067904
"ASV0029"	"ASV0003"	0.810595312287689	0.00444896866910696
"ASV0029"	"ASV0006"	0.810595312287689	0.00444896866910696
"ASV0029"	"ASV0008"	0.846925720824159	0.00198836867067904
"ASV0029"	"ASV0013"	0.888412462267307	0.000591653818422339
"ASV0029"	"ASV0016"	0.862068965517241	0.00133619416088069
"ASV0029"	"ASV0017"	0.635506724833548	0.0483077475670412
"ASV0029"	"ASV0034"	0.986206896551724	3.14396235392502e-06
"ASV0029"	"ASV0035"	0.99654575824488	1.25428547478023e-08
"ASV0029"	"ASV0038"	0.986206896551724	3.14396235392502e-06
"ASV0029"	"ASV0143"	0.851111635158058	0.0321484480331718
"ASV0029"	"ASV0211"	0.940522657810749	0.000971513206138787
"ASV0029"	"ASV0261"	0.851111635158058	0.0321484480331718
"ASV0029"	"ASV0402"	0.972413793103448	4.70967195389939e-05
"ASV0030"	"ASV0001"	-0.680854208921672	0.0302111706883683
"ASV0030"	"ASV0003"	-0.682926829268293	0.0295167974350205
"ASV0030"	"ASV0006"	-0.682926829268293	0.0295167974350205
"ASV0030"	"ASV0008"	-0.680854208921672	0.0302111706883683
"ASV0030"	"ASV0016"	-0.68738482481996	0.0280603151789105
"ASV0030"	"ASV0017"	-0.798780487804878	0.00558147845526496
"ASV0030"	"ASV0021"	-0.96004090202216	1.06282572860787e-05
"ASV0030"	"ASV0023"	-0.923116251944384	0.000139211061078603
"ASV0030"	"ASV0029"	-0.661445774826754	0.0372605023750012
"ASV0030"	"ASV0040"	0.984714084656113	4.73127973351999e-06
"ASV0030"	"ASV0045"	0.904653926905497	0.00607709716512519
"ASV0030"	"ASV0079"	0.916962143598088	0.00357048617370989
"ASV0030"	"ASV0101"	-0.903180846357683	0.0064457187662377
"ASV0030"	"ASV0189"	0.871820400303597	0.0188267982840876
"ASV0031"	"ASV0003"	0.654961012328452	0.0398432106227683
"ASV0031"	"ASV0006"	0.654961012328452	0.0398432106227683
"ASV0031"	"ASV0016"	0.641379310344828	0.0456371234181449
"ASV0031"	"ASV0039"	0.837610596838614	0.0433399701881811
"ASV0031"	"ASV0042"	0.881312019282368	0.0140520698294205
"ASV0031"	"ASV0312"	-0.86995941142046	0.0198856033085924
"ASV0031"	"ASV0783"	-0.862068965517241	0.0242222936143503
"ASV0032"	"ASV0003"	0.65653798717447	0.0392043863325568
"ASV0032"	"ASV0006"	0.65653798717447	0.0392043863325568
"ASV0032"	"ASV0017"	0.75380287416328	0.0117947862899837
"ASV0032"	"ASV0041"	0.915151515151515	0.00387015467584761
"ASV0032"	"ASV0044"	0.881463038336094	0.0139847354324562
"ASV0033"	"ASV0020"	0.633873159668477	0.0490687331153669
"ASV0033"	"ASV0028"	0.635814582773961	0.0481652208456188
"ASV0033"	"ASV0054"	0.937888198757764	0.00115016267650978
"ASV0034"	"ASV0001"	0.82106539347075	0.00359188000143035
"ASV0034"	"ASV0003"	0.784656262294483	0.00718844405333819
"ASV0034"	"ASV0006"	0.784656262294483	0.00718844405333819
"ASV0034"	"ASV0008"	0.82106539347075	0.00359188000143035
"ASV0034"	"ASV0013"	0.90138198726391	0.000366824706507238
"ASV0034"	"ASV0016"	0.875862068965517	0.000892048457961614
"ASV0034"	"ASV0017"	0.648476249830151	0.0425437876596296
"ASV0034"	"ASV0029"	0.986206896551724	1.55746923622763e-07
"ASV0034"	"ASV0030"	-0.726293399809769	0.0173729378798666
"ASV0034"	"ASV0035"	0.975784388281445	2.9276416256156e-05
"ASV0034"	"ASV0097"	0.867020263852601	0.0216475945741953
"ASV0034"	"ASV0101"	0.860478176294941	0.0252489374494765
"ASV0034"	"ASV0107"	0.851111635158058	0.0321484480331718
"ASV0034"	"ASV0142"	0.851111635158058	0.0321484480331718
"ASV0034"	"ASV0147"	0.851111635158058	0.0321484480331718
"ASV0034"	"ASV0211"	0.95386340473005	0.000359452273997928
"ASV0034"	"ASV0402"	0.986206896551724	3.14396235392502e-06
"ASV0034"	"ASV0866"	0.837610596838614	0.0433399701881811
"ASV0034"	"ASV1080"	0.852177737653199	0.0313400196942209
"ASV0034"	"ASV2130"	0.852177737653199	0.0313400196942209
"ASV0035"	"ASV0001"	0.843373856174983	0.0021696186237363
"ASV0035"	"ASV0003"	0.800390529679106	0.00541624620790707
"ASV0035"	"ASV0006"	0.800390529679106	0.00541624620790707
"ASV0035"	"ASV0008"	0.843373856174983	0.0021696186237363
"ASV0035"	"ASV0013"	0.897999130859485	0.000418041207038307
"ASV0035"	"ASV0016"	0.8304547985374	0.00293029148194418
"ASV0035"	"ASV0029"	0.99654575824488	6.20279810223142e-10
"ASV0035"	"ASV0030"	-0.650724007869192	0.0415942169661545
"ASV0035"	"ASV0034"	0.975784388281445	1.46111186037136e-06
"ASV0035"	"ASV0038"	0.975784388281445	2.9276416256156e-05
"ASV0035"	"ASV0063"	0.851216168500835	0.0321211651872153
"ASV0035"	"ASV0143"	0.85406177098886	0.0298610118417991
"ASV0035"	"ASV0211"	0.930395722645394	0.00179613942248782
"ASV0035"	"ASV0261"	0.85406177098886	0.0298610118417991
"ASV0035"	"ASV0402"	0.961943474972488	0.000168221252803911
"ASV0036"	"ASV0001"	0.937958099221084	6.01190821871565e-05
"ASV0036"	"ASV0003"	0.972173827676672	2.53638869509248e-06
"ASV0036"	"ASV0006"	0.972173827676672	2.53638869509248e-06
"ASV0036"	"ASV0008"	0.937958099221084	6.01190821871565e-05
"ASV0036"	"ASV0016"	0.927181910891448	0.000112582551568164
"ASV0036"	"ASV0017"	0.859276221881962	0.00144264099236195
"ASV0036"	"ASV0021"	0.645686021832455	0.0437426245201409
"ASV0036"	"ASV0023"	0.658346532064464	0.0384802918924463
