"colMeans..t.."	"Node"	"Node_category"
"ASV2916"	0.00045980786599885	"ASV2916"	"Unique"
"ASV2931"	5.74759832498563e-05	"ASV2931"	"Other"
"ASV2999"	0.000435175301748912	"ASV2999"	"Unique"
"ASV3000"	0.000435175301748912	"ASV3000"	"Unique"
"ASV3024"	8.21085474997947e-06	"ASV3024"	"Other"
"ASV3073"	8.21085474997947e-06	"ASV3073"	"Other"
"ASV3074"	2.46325642499384e-05	"ASV3074"	"Other"
"ASV3080"	0.00012786906208043	"ASV3080"	"Other"
"ASV3125"	0.000402331882748994	"ASV3125"	"Unique"
"ASV3166"	2.46325642499384e-05	"ASV3166"	"Other"
"ASV3176"	5.74759832498563e-05	"ASV3176"	"Other"
"ASV3187"	0.000385910173249035	"ASV3187"	"Unique"
"ASV3220"	0.000377699318499056	"ASV3220"	"Unique"
"ASV3221"	0.000377699318499056	"ASV3221"	"Unique"
"ASV3247"	6.93109531241823e-05	"ASV3247"	"Other"
"ASV3255"	7.38976927498152e-05	"ASV3255"	"Other"
"ASV3257"	0.000139584530749651	"ASV3257"	"Other"
"ASV3286"	0.000140662992027093	"ASV3286"	"Other"
"ASV3288"	0.000159800433494246	"ASV3288"	"Other"
"ASV3295"	8.21085474997947e-06	"ASV3295"	"Other"
"ASV3305"	3.4428036743113e-05	"ASV3305"	"Other"
"ASV3314"	9.03194022497742e-05	"ASV3314"	"Other"
"ASV3318"	0.000361277608999097	"ASV3318"	"Unique"
"ASV3339"	8.21085474997947e-06	"ASV3339"	"Other"
"ASV3348"	0.000353066754249117	"ASV3348"	"Unique"
"ASV3350"	6.56868379998358e-05	"ASV3350"	"Other"
"ASV3365"	0.000147227728804168	"ASV3365"	"Other"
"ASV3381"	0.000344855899499138	"ASV3381"	"Unique"
"ASV3424"	0.000172427949749569	"ASV3424"	"Other"
"ASV3497"	0.000320223335249199	"ASV3497"	"Unique"
"ASV3498"	0.000320223335249199	"ASV3498"	"Unique"
"ASV3501"	9.03194022497742e-05	"ASV3501"	"Other"
"ASV3502"	2.46325642499384e-05	"ASV3502"	"Other"
"ASV3559"	1.64217094999589e-05	"ASV3559"	"Other"
"ASV3566"	6.46342777119466e-05	"ASV3566"	"Other"
"ASV3578"	0.000303801625749241	"ASV3578"	"Unique"
"ASV3579"	0.000303801625749241	"ASV3579"	"Unique"
"ASV3581"	0.000303801625749241	"ASV3581"	"Unique"
"ASV3582"	0.000303801625749241	"ASV3582"	"Unique"
