"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18"
"C4F18";0,632162577160915;0,509347869974637;0,742258926105041;0,707368284072234;0,411019313400017;0,732903683749945;0,439616447555715;0,269597618396529;0,691252310441086;0,70264664248135;0;0,694505400370253;0,678518640958943;0,553137218620822;0,70345481728384;0,57182737362597;0,581017665515977;0,710806325603115;0,59321752884371;0,569773663119301;0,699148256518421;0,633850810384268;0,63093463291932;0,684969014288449;0,656066211816174;0,734660286622177;0,763044577469648;0,689811594778965;0,723772739517277;0,760401618615511;0,708163339727956;0,703114128088356;0,739624294316557;0,701187021663106;0,701189749335395;0,737396288965479;0,685862327873997;0,631957748481376;0,661370390014396;0,662597410012724;0,676370860223376;0,755248814187876;0,672171646536421;0,718301794967764;0,696833640782121;0,769240180580232;0,67089085315401;0,759313755099591;0,780519418292473;0,688667175375405;0,764241975943786;0,786471814209994;0,859584363739831;0,74462113134578;0,759240122923292;0,696258947697905;0,784184725422605;0,757174498147982;0,745264030779394;0,738067108684855;0,779466815104206;0,709290908159955;0,797021357356682
"C4A18";0,869963090011194;0,473950948233148;0,259499558682503;0,886296729656314;0,487374479963763;0,31537684839021;0,899358746829604;0,770694184602039;0,136982529205551;0,912533305233004;0,694505400370253;0;0,465090725945423;0,61512354152814;0,405638582422965;0,415743032632715;0,478352252422228;0,36342850289023;0,488855941965445;0,39924755769277;0,473952750599268;0,596818579322655;0,438200433327189;0,348769474556328;0,530752908820437;0,510603924959763;0,384021166360333;0,533430404349979;0,488136604753639;0,36748382493421;0,485741823670827;0,499910117037929;0,398673933628134;0,450731371092837;0,515171344723474;0,288451422924929;0,393482973585916;0,428780306894778;0,385037239825535;0,421166304562691;0,403480499092338;0,679072044257758;0,836516850855502;0,490900585574142;0,586266767109656;0,557176620711772;0,512706917749882;0,388387290491528;0,551613692457497;0,634611177159962;0,431704530247398;0,509845722239875;0,637696386042336;0,521188185661082;0,472948619133729;0,521040201186186;0,521974349707513;0,502925353540945;0,525811520833173;0,463250171079443;0,522084652090759;0,455737137278162;0,519661631827305
"F1A17";0,749286753669466;0,492441016342295;0,491405907464318;0,859052274913694;0,465306727391302;0,518357832398195;0,93241459632711;0,722153466408303;0,449411756003138;0,878579541385678;0,678518640958943;0,465090725945423;0;0,591881840677265;0,479597751074937;0,277959587917088;0,474021578072483;0,487458876227461;0,333212396906877;0,384149302291912;0,556165071514459;0,439527758223732;0,379628097213815;0,443031098375132;0,441876730462289;0,458052833728197;0,462448189027544;0,44319762384101;0,451506827137603;0,45693591561029;0,420933310793702;0,444367547875352;0,467285777921641;0,399777286060759;0,45381860277524;0,464577606386528;0,472431298920628;0,50176454923706;0,452185576761671;0,436018966502667;0,463133932159845;0,595265899880323;0,771632282255878;0,387870468633664;0,58225807332524;0,460358505026258;0,494759560588837;0,430157087877557;0,48292263219083;0,6184560734331;0,453009312685665;0,440067503708489;0,553110383037905;0,506867584564472;0,401028558182147;0,49672282764089;0,464809989968089;0,429828055837731;0,481336847138264;0,484138289032083;0,450720289346816;0,464260438165516;0,450282296929309
"F1F18";0,830243417094263;0,396905311231618;0,555607791133264;0,811933469292885;0,332248080505323;0,547005900557045;0,683234797836483;0,617776055154952;0,574578351188423;0,745211509216982;0,553137218620822;0,61512354152814;0,591881840677265;0;0,505842192745178;0,517992846238818;0,341170208260017;0,55108827133748;0,51207789048571;0,411285684477526;0,531711798708138;0,594023101923132;0,446214326647066;0,508667002714001;0,593798260568391;0,604470009403181;0,612721841427622;0,630931108375723;0,598316361183321;0,604264852391193;0,615341113643081;0,605746476062437;0,579487937595822;0,606371151076345;0,599440004071958;0,551187486301098;0,548563443096056;0,527270079592022;0,54907837533654;0,556606870198201;0,551157492038101;0,618757185579852;0,749009688837713;0,614149365747622;0,552941003663277;0,528833646752425;0,540117171414337;0,625182523212544;0,611353825462068;0,510982193089415;0,630133959446349;0,637606249050927;0,530082564367182;0,627933034132517;0,625782898996699;0,578780567658822;0,639394055705122;0,650178544521441;0,567638908112681;0,644539494309344;0,646415209964596;0,589039052211921;0,6445603047988
"F1A18";0,93033999901116;0,340830076006488;0,267082362815162;0,870460942888426;0,45189426140125;0,237649606711548;0,824612606437235;0,786952930870484;0,376777300872582;0,868103772413117;0,70345481728384;0,405638582422965;0,479597751074937;0,505842192745178;0;0,367852536662246;0,337634632170848;0,234744973953625;0,377865321882544;0,31661279067119;0,171241284129122;0,47048001049687;0,33330351435422;0,191369550132936;0,415241315231879;0,42170208914361;0,33283821892028;0,441065297222906;0,374963434009102;0,314906763149652;0,368390174347817;0,390347709137009;0,301567093149325;0,347923838452329;0,392348860454904;0,245492273530645;0,261333346631633;0,315727193484655;0,263987769693466;0,294778209859938;0,28863796663836;0,710309096269961;0,814956838450168;0,469806315821919;0,426473607833079;0,545986602196158;0,375514332587054;0,320463207863825;0,522766207972672;0,518793415558646;0,352960578552218;0,411464008542722;0,446406534302452;0,348623350531867;0,421702212420215;0,308690376409782;0,398611107890704;0,448685543765616;0,332204906072602;0,348834470171046;0,448760642539007;0,32394334856201;0,375645638319003
"F2A17";0,744692902411235;0,357019277560827;0,421893328726045;0,821482826684034;0,371698451122413;0,436093475754083;0,787094878454299;0,655163402465457;0,397872082685058;0,835762027126553;0,57182737362597;0,415743032632715;0,277959587917088;0,517992846238818;0,367852536662246;0;0,411897972989042;0,351283196917131;0,165755740558522;0,319491469073163;0,419669695413513;0,362054397948019;0,317946240591055;0,293230863113901;0,372091593880144;0,42551931531548;0,415278661999134;0,40271525813464;0,419133683852959;0,394241158640623;0,356344019150168;0,3993242070169;0,385523206733196;0,338597662555398;0,392674754017377;0,37552130520107;0,339227628154615;0,419480073536004;0,307808991689584;0,324050457483091;0,320966628219265;0,634338552845037;0,838402721616356;0,383383569894739;0,522049674516407;0,511698192682048;0,469795215600175;0,342033702080389;0,47635088392878;0,596030630958475;0,369328934458562;0,403555501951063;0,526829241999569;0,441458646733433;0,388272207901136;0,429302807687009;0,392298540356192;0,401743984876194;0,408455902337248;0,420034143276981;0,437623030576621;0,362816376013096;0,431696469338109
"F2F18";0,875323595906689;0,223497555749957;0,361521494864396;0,847600445831952;0,325031922137262;0,365306529457353;0,800135722776836;0,653784980839445;0,461138687965594;0,810513057748711;0,581017665515977;0,478352252422228;0,474021578072483;0,341170208260017;0,337634632170848;0,411897972989042;0;0,343624061099236;0,453456314054748;0,218096830934544;0,416076264100812;0,584240621508552;0,265353014614479;0,334593478013961;0,437800787722991;0,396141666002063;0,404403222485574;0,445893610101541;0,399279783745204;0,415536692633256;0,403985953974745;0,39626262301089;0,383330148239218;0,396622559733352;0,400153605991657;0,358638189755867;0,340026306799764;0,445079440609513;0,336026028699133;0,351619279857361;0,355312445787526;0,674609505065861;0,795227265552467;0,350531192821726;0,438197176770104;0,435660181892671;0,382575622012048;0,418361272306527;0,446232216692191;0,558173938635198;0,460081391107237;0,438437830545697;0,504847926821002;0,423809342919962;0,420685857572686;0,411846832338103;0,44099281621386;0,427982260109908;0,401244598788297;0,464219145391728;0,458958627557969;0,402005368362246;0,443113853121039
"F2A18";0,92235901721449;0,284744596540679;0,201287461216493;0,910809554536653;0,456549002055788;0,263592171905602;0,857721192696033;0,793075103341048;0,34825725039477;0,885599045181951;0,710806325603115;0,36342850289023;0,487458876227461;0,55108827133748;0,234744973953625;0,351283196917131;0,343624061099236;0;0,408230839616193;0,307969800795188;0,33593963919798;0,567277743816994;0,321187603747762;0,142983885889875;0,287934153230271;0,290435497640174;0,166588894042229;0,31358666314712;0,25918000462679;0,15633902267954;0,249982574449605;0,264955343454637;0,154548645852131;0,226352030244258;0,262984744117404;0,148015169206654;0,199598594601569;0,378212985791001;0,202868283216032;0,253115868623605;0,198998968625458;0,689242593711157;0,814643404367213;0,363186563737108;0,36183240306038;0,474730841483299;0,321921919657626;0,256401289251425;0,435483104988927;0,553457544980801;0,244670347434288;0,261055525052903;0,469986478904936;0,264128650381505;0,289251028676082;0,306444892965723;0,258104003291702;0,294037513827563;0,270624583466365;0,256643275171887;0,308245433964673;0,195356952355947;0,257180889731246
"F3A17";0,73825190359667;0,382569589325483;0,468668837640952;0,77892393994354;0,373417944548075;0,480813452471004;0,781416630984271;0,69979238935277;0,467984984167815;0,803110738762105;0,59321752884371;0,488855941965445;0,333212396906877;0,51207789048571;0,377865321882544;0,165755740558522;0,453456314054748;0,408230839616193;0;0,383355145848432;0,435829775623055;0,301983854576013;0,371458002745482;0,347992132850412;0,413728836606042;0,443133815078683;0,441304372874792;0,421584174229957;0,425295942963209;0,442149778835308;0,403725268419571;0,420718370749971;0,438753238139667;0,369484074469187;0,422531542708011;0,418641904413588;0,365186093698116;0,438231077475305;0,336145491522193;0,365607642771378;0,359190776258865;0,645476229830931;0,856035199300447;0,457570897903074;0,525883166951148;0,587267623763992;0,529051148649777;0,392889115561481;0,516847421152639;0,574990217087574;0,410658899823148;0,421024373627901;0,502697687086265;0,444798779307677;0,416480991189185;0,430779587562825;0,420125774026573;0,427781099096508;0,430615751044969;0,417085192657966;0,446235632813358;0,377848559153132;0,429180802811185
"F3F18";0,860198620365499;0,22719550826096;0,323274199713491;0,877556602739666;0,30431646905322;0,343823171341503;0,821274593395417;0,657369673139266;0,408321879292448;0,863501445956673;0,569773663119301;0,39924755769277;0,384149302291912;0,411285684477526;0,31661279067119;0,319491469073163;0,218096830934544;0,307969800795188;0,383355145848432;0;0,437469072625651;0,523729313484747;0,135484614402301;0,256243772861133;0,404529450527567;0,369628328469809;0,328982105866499;0,416124256529011;0,362509178680862;0,326427133633701;0,353809239670931;0,371606181827288;0,316608970378052;0,311583020850976;0,386565382865626;0,320452887943541;0,299446369754437;0,407322853873333;0,276638436641719;0,270306540454856;0,304398675622626;0,609634898683433;0,75252560252546;0,355501892834756;0,435479988429972;0,40280952638153;0,333256741668943;0,339469395963459;0,452225160407617;0,531237382545624;0,393926759335073;0,429595937958218;0,516370817661851;0,41114104545591;0,382948534602411;0,356054026508384;0,40768117609515;0,411896796030916;0,367167318958102;0,414000736545716;0,445147766236193;0,351556397032847;0,442822266449251
