"From"	"to"	"rValue"	"pValue"
"ASV0028"	"ASV0126"	0.792090821753279	2.2384496241585e-12
"ASV0028"	"ASV0133"	0.646964216359122	7.97844919252337e-07
"ASV0028"	"ASV0925"	0.646587608191415	8.17993411935236e-07
"ASV0028"	"ASV2548"	0.633945871752273	1.82557466056788e-06
"ASV0028"	"ASV2590"	0.619244247725249	4.41249776227645e-06
"ASV0028"	"ASV2805"	0.630469481463843	2.25807429057808e-06
"ASV0029"	"ASV0001"	0.636630335606753	2.04237095695138e-08
"ASV0029"	"ASV0003"	0.645136247198118	1.1473164127877e-08
"ASV0029"	"ASV0006"	0.646589336511389	1.03780878721205e-08
"ASV0029"	"ASV0008"	0.634210300384676	2.39881031052503e-08
"ASV0029"	"ASV0013"	0.601348839856631	1.86998958312642e-07
"ASV0029"	"ASV0016"	0.624058193605512	4.64059522604206e-08
"ASV0029"	"ASV0017"	0.62009426366949	5.96626150654908e-08
"ASV0029"	"ASV0021"	0.975265798104025	1.07197341590806e-41
"ASV0029"	"ASV0023"	0.698126955045442	2.01982408236106e-10
"ASV0029"	"ASV0034"	0.97818830118132	1.04728238391081e-40
"ASV0029"	"ASV0035"	0.735713067464582	1.1436599978689e-09
"ASV0029"	"ASV0036"	0.647300361702424	7.80951842775304e-07
"ASV0029"	"ASV0038"	0.758560565887593	1.13446151717028e-10
"ASV0029"	"ASV0050"	0.629204010724407	2.44343635186709e-06
"ASV0029"	"ASV0053"	0.633184170438735	1.91419119235033e-06
"ASV0029"	"ASV0867"	0.710042743599049	8.68521059065215e-09
"ASV0029"	"ASV1079"	0.737459864783506	9.6862553170298e-10
"ASV0029"	"ASV1593"	0.695469499960939	2.87911225299806e-08
"ASV0030"	"ASV0001"	-0.609055108838604	1.17967646440783e-07
"ASV0030"	"ASV0003"	-0.610250580844503	1.09710127025373e-07
"ASV0030"	"ASV0006"	-0.610119843961787	1.10585879729843e-07
"ASV0030"	"ASV0008"	-0.606362616766859	1.38762025286291e-07
"ASV0030"	"ASV0013"	-0.650597277716277	7.8477042578163e-09
"ASV0030"	"ASV0016"	-0.616130280347078	7.64407819607033e-08
"ASV0030"	"ASV0017"	-0.602233476629463	1.77475897377059e-07
"ASV0030"	"ASV0020"	0.731105864128138	1.0204720766561e-11
"ASV0030"	"ASV0023"	-0.690186745090774	3.9066463697247e-10
"ASV0030"	"ASV0028"	0.674810662848009	1.32290118906844e-09
"ASV0030"	"ASV0033"	0.623930029289569	3.34731188097165e-06
"ASV0030"	"ASV0035"	-0.670014953269562	1.65177790281077e-07
"ASV0030"	"ASV0038"	-0.679478776111185	8.25785221560354e-08
"ASV0030"	"ASV0041"	0.860499992970847	5.1456085461043e-17
"ASV0030"	"ASV0045"	0.766283932856395	4.82677384280118e-11
"ASV0030"	"ASV0054"	0.669291140411099	1.74011953831873e-07
"ASV0030"	"ASV0079"	0.867061921047044	1.34392938091334e-17
"ASV0030"	"ASV0107"	-0.644166809963867	9.60264016401066e-07
"ASV0030"	"ASV0315"	0.750852867163227	2.56061103924941e-10
"ASV0030"	"ASV0405"	0.633949429468637	1.82557466056788e-06
"ASV0030"	"ASV0624"	0.689871066738447	3.72564037855358e-08
"ASV0031"	"ASV0042"	0.847862289683503	5.69518247894079e-16
"ASV0031"	"ASV0046"	0.822466037381085	3.57617728785857e-14
"ASV0031"	"ASV0075"	0.817315696508558	7.80705753070128e-14
"ASV0032"	"ASV0040"	0.956212311325175	1.22951565287702e-31
"ASV0032"	"ASV0043"	0.957888763067963	3.83808480902315e-32
"ASV0033"	"ASV0020"	0.825655578015578	8.3898450833978e-17
"ASV0033"	"ASV0028"	0.813199316124633	5.66847751146764e-16
"ASV0033"	"ASV0030"	0.623930029289569	4.67870853456743e-08
"ASV0033"	"ASV0041"	0.661792122951993	2.98871959769882e-07
"ASV0033"	"ASV0045"	0.715075817983997	6.84790748052032e-09
"ASV0033"	"ASV0054"	0.859358887289179	6.4627933938056e-17
"ASV0033"	"ASV0079"	0.719589802305277	5.09134361811234e-09
"ASV0033"	"ASV0096"	0.62407058692039	3.32087194904566e-06
"ASV0033"	"ASV0126"	0.636999987245306	1.50758418044939e-06
"ASV0033"	"ASV0133"	0.634621669459786	1.75077739293781e-06
"ASV0033"	"ASV0682"	0.605765385621702	9.43880808544536e-06
"ASV0033"	"ASV0884"	0.601520217603063	1.18440063598307e-05
"ASV0033"	"ASV0925"	0.635249819446178	1.68542784956868e-06
"ASV0033"	"ASV2548"	0.623573037370889	3.41845884529324e-06
"ASV0033"	"ASV2590"	0.608090622580103	8.36645880148308e-06
"ASV0033"	"ASV2805"	0.621920927479114	3.77462246307096e-06
