"";"ASV_1";"ASV_3";"ASV_6";"ASV_8";"ASV_13";"ASV_16";"ASV_17";"ASV_21";"ASV_23";"ASV_25";"ASV_29";"ASV_30";"ASV_32";"ASV_34";"ASV_35";"ASV_36";"ASV_37";"ASV_38";"ASV_39";"ASV_41";"ASV_42";"ASV_44";"ASV_45";"ASV_48";"ASV_50";"ASV_51";"ASV_53";"ASV_56";"ASV_63";"ASV_64";"ASV_66";"ASV_71";"ASV_72";"ASV_73";"ASV_77";"ASV_82";"ASV_83";"ASV_85";"ASV_86";"ASV_89";"ASV_97";"ASV_101";"ASV_102";"ASV_104";"ASV_107";"ASV_120";"ASV_121";"ASV_127";"ASV_133";"ASV_136";"ASV_142";"ASV_143";"ASV_145";"ASV_147";"ASV_189";"ASV_206";"ASV_211";"ASV_223";"ASV_261";"ASV_270";"ASV_273";"ASV_277";"ASV_278";"ASV_312";"ASV_332";"ASV_356";"ASV_381";"ASV_395";"ASV_402";"ASV_426";"ASV_442";"ASV_456";"ASV_460";"ASV_464";"ASV_497";"ASV_512";"ASV_564";"ASV_569";"ASV_634";"ASV_647";"ASV_675";"ASV_680";"ASV_711";"ASV_723";"ASV_768";"ASV_811";"ASV_833";"ASV_837";"ASV_866";"ASV_884";"ASV_906";"ASV_919";"ASV_1080";"ASV_1113";"ASV_1188";"ASV_1189";"ASV_1269";"ASV_1286";"ASV_1333";"ASV_1401";"ASV_1402";"ASV_1461";"ASV_1504";"ASV_1589";"ASV_1795";"ASV_1965";"ASV_2582";"ASV_3699"
"F3A18";1363;1001;921;584;187;110;118;42;85;1731;29;0;132;37;69;47;1214;48;1116;116;0;86;0;1333;46;0;49;30;62;951;0;21;20;945;364;0;8;543;0;0;43;16;433;53;38;366;214;185;14;65;44;43;16;64;53;0;20;8;9;470;0;164;9;0;0;0;0;0;12;21;0;35;16;0;72;11;112;0;82;0;0;0;76;0;0;0;19;30;3;0;0;0;4;4;0;0;0;14;0;0;0;0;0;3;19;0;0;0
"F4A17";89;66;69;35;68;0;0;103;8;119;69;0;0;64;7;0;92;10;112;91;0;0;0;0;0;0;0;0;92;73;0;27;0;0;198;86;24;0;0;0;72;0;0;9;85;0;149;113;0;0;5;0;0;11;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;10;0;0;0;0;0;0;0;0;0
"F4F18";1312;1031;937;613;197;134;136;70;57;0;59;16;366;62;44;54;0;47;0;325;0;267;4;79;35;0;38;120;117;0;148;98;95;48;117;47;79;0;0;97;89;6;0;66;79;0;86;79;10;0;33;0;6;62;97;204;6;8;2;0;0;36;10;25;0;0;146;130;8;102;0;126;0;35;0;0;0;0;0;0;19;0;0;0;12;0;0;0;8;0;0;34;6;5;0;12;0;0;11;0;0;0;9;3;0;0;7;0
"F4A18";3502;2507;2419;1446;651;483;463;177;227;384;111;0;506;115;186;177;288;174;266;436;0;389;0;290;104;0;108;131;206;221;0;74;98;233;101;0;86;110;93;0;153;76;110;219;128;114;67;81;60;0;163;0;64;152;68;0;61;40;35;154;42;56;37;0;42;0;0;0;33;50;0;41;6;0;189;0;43;0;36;0;0;45;33;0;1;0;4;0;12;5;0;0;5;12;17;4;0;0;2;6;17;0;2;4;0;0;0;0
"H1A17";7623;5636;5335;3238;233;174;184;366;145;110;225;0;88;215;106;345;93;90;83;72;0;55;0;48;284;906;268;86;92;0;0;662;60;0;62;603;47;50;0;0;58;8;0;35;58;0;70;80;5;0;32;35;4;34;0;0;4;6;0;0;0;0;2;0;30;0;0;0;0;42;0;0;435;0;26;0;0;353;0;0;0;0;0;0;4;24;0;0;10;0;0;0;9;6;3;2;13;0;0;0;9;1;3;2;0;0;0;0
"H1F18";12052;9054;8306;5258;743;571;548;882;703;95;654;21;152;601;515;562;0;485;0;161;0;138;0;73;388;43;415;47;114;0;0;0;38;0;155;0;36;36;0;31;71;11;0;60;63;0;0;0;14;0;32;0;8;54;55;129;20;9;21;0;90;40;14;7;0;0;100;85;17;0;0;11;0;67;0;74;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;38;16;11;37;0;0;0;0;0;0;11;0;4;0;0;2;0
"H1A18";8983;6690;6296;4106;943;657;573;99;463;105;76;0;286;93;330;418;0;297;0;192;0;188;0;115;310;43;335;261;83;99;79;44;209;121;0;73;213;59;0;78;71;196;50;83;56;31;0;0;192;0;76;108;147;67;51;0;118;92;68;0;56;21;72;0;40;45;0;22;57;0;0;0;0;0;0;31;7;0;17;0;35;0;9;0;0;0;0;0;3;0;0;0;3;1;9;0;0;0;0;0;0;0;0;0;0;15;0;3
"H2A17";7428;5675;5495;3584;237;184;191;369;168;0;257;0;80;261;136;366;67;105;26;55;0;75;0;0;281;560;257;52;47;0;0;407;44;0;0;419;67;0;0;0;34;8;0;47;41;27;0;41;6;0;26;0;11;22;0;0;6;0;2;0;0;0;6;0;0;34;0;0;0;0;0;0;0;0;52;0;0;0;0;26;0;17;0;0;2;0;0;0;6;0;0;0;4;1;4;2;32;0;4;0;0;3;0;1;0;0;0;0
"H2F18";10001;7492;6869;4295;555;486;446;704;682;131;530;0;329;518;456;462;0;469;0;213;121;216;0;40;377;0;322;34;83;78;0;57;51;30;148;0;69;28;0;28;79;3;29;86;72;23;0;0;8;34;70;0;8;55;81;78;13;0;7;10;87;24;13;0;0;0;60;59;0;33;0;0;0;0;0;67;7;0;7;0;0;68;5;39;0;0;0;0;13;0;0;0;9;15;16;0;0;0;0;38;0;0;0;5;0;0;3;0
"H2A18";8323;6277;5894;3712;818;627;603;110;420;95;79;0;245;56;285;363;0;281;0;227;0;159;0;115;291;50;261;307;137;65;65;70;235;70;0;43;206;48;0;121;93;203;37;145;85;44;0;36;191;0;84;117;188;84;95;29;128;120;103;40;74;13;109;0;48;42;0;0;72;51;0;0;0;0;0;0;15;0;7;27;0;30;10;67;5;0;0;70;6;0;0;8;2;3;7;7;0;0;5;10;0;0;1;0;0;32;0;0
