"";"Coscinodiscophyceae";"Pelagophyceae";"Phaeophyceae";"Mediophyceae";"Sagenista";"Peronosporomycetes";"Opalozoa";"Chrysophyceae";"Gyrista_X";"Bolidophyceae";"Bacillariophyceae";"Dictyochophyceae";"Bicoecea";"Stramenopiles_NA";"Pirsoniales";"MOCH-3";"MOCH-5";"Stramenopiles_XX";"MOCH-2";"MOCH-1";"Xanthophyceae";"Stramenopiles_X-Group-2";"MOCH-4";"Developea"
"H3A17";0;420;759;75;1623;20;523;140;349;55;0;87;7;13;0;30;0;0;29;45;0;0;0;0
"H3F18";26;241;0;660;1923;0;133;313;127;177;104;269;58;0;0;62;0;11;0;21;0;0;0;0
"H3A18";21;1245;140;188;1186;0;200;288;156;36;7;134;0;82;0;52;0;0;14;0;0;0;16;0
"H4A17";0;782;2445;18;1011;13;275;95;229;83;171;109;22;0;0;47;0;0;51;39;0;0;0;0
"H4F18";2;236;12;569;2293;0;86;454;71;161;94;268;31;0;0;26;0;8;0;17;0;0;0;0
"H4A18";19;4014;38;185;1930;0;351;376;222;174;7;277;5;67;0;37;0;0;62;18;0;0;0;0
"P1F18";28;1244;203;1686;460;0;47;122;62;44;52;77;0;7;0;19;0;0;0;0;0;0;0;0
"P1A18";1174;203;290;13440;1849;279;1383;845;132;260;300;36;197;56;85;22;0;0;0;0;0;0;0;0
"P2F18";1;1172;0;1453;641;0;203;250;177;46;67;146;92;7;0;33;0;0;0;0;0;0;0;0
"P3F18";3;849;0;2386;626;0;184;109;222;17;121;106;424;0;0;16;0;0;0;0;0;0;0;0
"P4F18";56;1017;0;2223;892;0;177;166;149;23;90;119;0;0;0;0;0;9;0;0;0;0;0;0
"Q1A17";672;20;273;6152;240;631;1157;254;125;0;215;41;9;56;57;0;0;3;15;6;0;0;0;0
"Q1F18";522;3;0;2;164;0;40;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q2A17";2195;108;50;4169;2321;2782;2431;936;123;120;48;70;35;242;74;0;0;0;41;0;0;0;0;0
"Q2F18";294;63;0;112;1226;14;691;26;0;67;556;0;14;0;0;9;13;0;0;0;0;6;0;0
"Q3A17";1881;110;0;4467;3094;2977;2109;671;172;167;41;12;11;340;53;0;0;0;57;0;0;0;0;0
"Q3F18";794;217;44;429;895;0;517;55;48;26;260;8;26;0;0;0;0;0;0;0;0;0;0;0
"Q3A18";85;3017;0;1543;1008;0;233;316;233;58;314;529;0;0;28;50;0;70;100;29;0;0;0;0
"Q4A17";1366;95;0;4261;3792;3787;2384;958;243;218;21;39;453;380;94;0;0;0;50;0;0;0;0;0
