;Mamiellophyceae;Trebouxiophyceae;Chlorodendrophyceae;Chloropicophyceae;Pyramimonadophyceae;Ulvophyceae;Chlorophyta_NA;Prasino-Clade-9;Chlorophyceae;Nephroselmidophyceae;Prasino-Clade-VIII;Coscinodiscophyceae;Pelagophyceae;Phaeophyceae;Mediophyceae;Sagenista;Peronosporomycetes;Opalozoa;Chrysophyceae;Gyrista_X;Bolidophyceae;Bacillariophyceae;Dictyochophyceae;Bicoecea;Stramenopiles_NA;Pirsoniales;MOCH-3;MOCH-5;Stramenopiles_XX;MOCH-2;MOCH-1;Xanthophyceae;Stramenopiles_X-Group-2;MOCH-4;Developea;Prymnesiophyceae;Haptophyta_Clade_HAP3;Haptophyta_Clade_HAP5;Haptophyta_Clade_HAP4;Cryptophyceae;Cryptophyceae:nucl;Kathablepharidea;Florideophyceae;Bangiophyceae
Q3F18;5012;208;426;579;77;0;0;22;0;0;0;794;217;44;429;895;0;517;55;48;26;260;8;26;0;0;0;0;0;0;0;0;0;0;0;143;3;0;0;2989;510;25;14;0
Q3A18;14675;1043;246;192;382;0;0;0;0;21;0;85;3017;0;1543;1008;0;233;316;233;58;314;529;0;0;28;50;0;70;100;29;0;0;0;0;975;89;0;0;1608;209;255;0;0
Q4A17;1829;20;0;0;0;0;0;0;0;0;0;1366;95;0;4261;3792;3787;2384;958;243;218;21;39;453;380;94;0;0;0;50;0;0;0;0;0;519;0;0;0;323;0;42;8;0
Q4F18;868;54;135;255;29;0;0;0;16;0;0;714;77;14;69;928;0;746;0;25;17;129;0;0;0;0;0;0;0;0;7;0;0;0;0;84;0;0;0;421;385;36;13;0
Q4A18;25253;764;527;229;606;0;0;0;0;0;0;0;2727;0;460;272;0;97;779;309;81;72;372;0;26;0;79;0;0;45;0;0;0;0;0;625;100;0;0;853;172;73;0;0
L1A17;17208;362;0;16;0;281;5;0;0;0;0;15;85;742;135;187;39;37;487;10;0;0;168;546;34;0;41;0;0;0;0;0;0;0;0;32;0;0;0;545;21;159;357;0
L1F18;1682;737;390;55;78;153;0;0;0;0;0;66;84;6347;790;364;270;74;12;18;0;132;21;0;20;0;0;39;0;0;0;0;0;0;0;28;0;0;0;300;0;27;5338;0
L1A18;15395;1428;11823;400;0;0;0;0;0;0;0;0;124;0;1333;149;0;162;143;0;0;0;95;0;0;0;0;0;7;0;0;145;0;0;0;116;0;0;0;1052;82;94;0;0
L2A17;13938;115;0;0;29;138;0;0;0;0;0;0;52;3393;366;113;12;67;2937;27;0;7;1118;388;23;0;17;0;0;0;0;0;0;0;0;67;11;0;0;1031;68;270;236;0
L2F18;14424;3771;5829;308;310;35;0;0;0;15;0;293;324;388;407;2005;147;421;91;85;0;301;134;68;114;0;52;91;0;0;0;0;0;0;0;202;0;0;0;1125;349;77;2618;0
L2A18;22003;625;391;65;162;0;0;0;0;0;0;0;343;0;933;259;0;302;142;116;107;107;41;0;0;0;0;0;0;0;35;0;0;0;0;241;0;0;0;1450;0;163;0;0
L3A17;17199;78;0;0;427;55;0;0;0;0;0;17;56;1464;151;81;0;104;2390;57;0;0;274;154;0;0;29;0;0;0;0;0;0;0;0;57;0;0;0;733;53;313;154;0
L3F18;6503;901;135;105;79;35;0;0;0;0;0;74;143;219;77;1145;69;260;61;16;0;71;10;0;52;0;38;79;0;0;0;0;0;0;0;43;0;0;0;368;33;40;8547;0
L3A18;24437;1869;4547;352;108;0;0;0;0;0;0;26;538;0;2507;282;0;0;614;0;106;316;253;0;0;0;0;0;0;20;0;0;0;0;15;273;0;0;11;835;0;186;0;0
L4A17;19000;139;0;5;86;204;0;0;0;0;0;0;35;4335;97;67;21;65;255;50;0;14;33;465;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;422;24;200;396;0
L4F18;17237;1048;152;143;211;156;0;0;0;0;0;227;531;615;136;1385;49;338;188;141;25;133;82;21;57;0;37;0;0;0;0;0;0;0;0;145;0;0;0;758;117;93;3689;0
L4A18;25421;1388;22;40;50;49;0;0;12;0;0;51;276;12;1225;146;43;170;48;77;46;122;116;0;15;18;12;0;0;0;0;0;0;0;0;178;4;0;0;1539;34;176;4;0
