"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18"
"C4F18";0,6391618775104;0,503195315522401;0,730646642219412;0,682974462172519;0,379518931768253;0,725609970838051;0,467009268764332;0,268355913331871;0,676217777089223;0,704125271469165;0;0,682951856021335;0,656100536074411;0,549945041968971;0,698787393867996;0,557223066597601;0,590876805941661;0,70306141230169;0,576125190246521;0,576928765785286;0,688100197489417;0,620145790774083;0,630998432151638;0,67427800899773;0,650360547891563;0,718372110657822;0,754693328747478;0,683401021376855;0,708245587211393;0,747468245156926;0,695993832368573;0,695987486823209;0,73187862122246;0,691217934654705;0,703941903681912;0,721479137951661;0,681521635906804;0,611860146403004;0,650556837873297;0,668823635487158;0,681362922341212;0,77859946604346;0,854489308031884;0,736879071753024;0,746242317952382;0,685457815011108;0,775206492941306;0,746733346770853;0,737475305639679;0,736129145869267;0,768400393424873;0,699291612046021;0,778494197303275;0,74026157959535;0,617367040550728;0,709754567126151;0,689036065020912;0,780976958276382;0,671841209919193;0,75461813004599;0,763447931161412;0,674262505458274;0,755186134266233
"C4A18";0,868690381914284;0,467469322266305;0,253039785201546;0,870161077294223;0,509967131792136;0,307061446714391;0,89726210923503;0,775592903025372;0,115789983298853;0,911197681214518;0,682951856021335;0;0,475416935569337;0,614367256290164;0,393513806134023;0,402369784476985;0,470992658091661;0,341968086013125;0,495130727348967;0,391441870931917;0,465298774574303;0,601772416245543;0,43636426585188;0,341960903629843;0,527887770791177;0,496765685191605;0,368551986753757;0,514758309474417;0,483424960686801;0,365568640414305;0,480884853636834;0,501439393109476;0,389823224361837;0,435682041181887;0,515046186096957;0,281568527549528;0,385068826259535;0,434415797874568;0,383316405790286;0,412263365030406;0,39081708763951;0,502965560927588;0,644436105099559;0,508754193482094;0,483259429078282;0,516306674116287;0,515552436972027;0,494540052750032;0,521013693154606;0,457896422872182;0,504983392599917;0,448205152456364;0,512525525639657;0,694793789534437;0,839607003405175;0,456116098990792;0,589212849537292;0,589880089139849;0,510897113768426;0,383321710178806;0,519657120672254;0,628670149661528;0,434100509104792
"F1A17";0,738303606421849;0,487750270213157;0,48998850435374;0,825547644825822;0,491076931176527;0,505270377132382;0,928508007293905;0,730287036554134;0,452094732572133;0,873629097904065;0,656100536074411;0,475416935569337;0;0,598313399100093;0,486758034663852;0,263676839914781;0,484432481553585;0,481748322482084;0,342441954133194;0,383012488064283;0,548085122692177;0,431329956660265;0,380462024291871;0,442144100056805;0,429023659467742;0,449971914110552;0,455419259383856;0,428979816975831;0,447547026206173;0,457809887774984;0,40592549392547;0,442454908570073;0,457563735911519;0,381668910764858;0,445603659898278;0,471944524303089;0,470037163493599;0,505844728782166;0,447385452274465;0,429891870775931;0,456002972154171;0,430389609512323;0,574682483312084;0,51227379572206;0,402953986582948;0,503810442711607;0,46598784193447;0,416642503671962;0,497448317006061;0,471976541047133;0,428944751816068;0,456309233954775;0,461646925077721;0,616702430303995;0,809347459945362;0,396841863418043;0,621025562780779;0,508480997720141;0,53128691529717;0,444000595155857;0,445803686802201;0,624982977232187;0,438126656099933
"F1F18";0,814523859203306;0,395636598284653;0,544204790504387;0,785154470857014;0,333435356724096;0,540700543244101;0,658266771207962;0,642415580673816;0,564238037439599;0,74178250123931;0,549945041968971;0,614367256290164;0,598313399100093;0;0,495674672526286;0,505035279993434;0,338164306559057;0,528975297722299;0,520901695444417;0,443283879381186;0,516613005032321;0,580451485313689;0,467691604529038;0,488388093360266;0,569578902006733;0,59983036770215;0,598564506367724;0,611704282894882;0,587235098661408;0,578166478544624;0,592875876037286;0,587147639357211;0,557716213283306;0,58768818884988;0,586465771429343;0,533792607728385;0,53242137656017;0,504146696169105;0,545881220410998;0,551263558122587;0,542699519288379;0,601164841405461;0,589267737038079;0,611019221630554;0,61836697270638;0,5528626095878;0,612421839136869;0,611530907506702;0,571639545094184;0,611791169462906;0,628353837153321;0,56514591878985;0,608382890136509;0,661715164806381;0,732176676092623;0,607425662471881;0,575233138049526;0,590800393408513;0,506849580126342;0,610553263693559;0,614826857666303;0,501675032633417;0,594804148298513
"F1A18";0,930829199743928;0,333934429453796;0,260576702805746;0,866817687378541;0,478438178403567;0,228926834380082;0,82405382695014;0,799157518980673;0,364014741873582;0,868853890965979;0,698787393867996;0,393513806134023;0,486758034663852;0,495674672526286;0;0,369741875992425;0,341934049366819;0,232122096877599;0,401656750281865;0,301272658038778;0,170192984089464;0,483417947395943;0,334257888329404;0,187407067487133;0,413545503673075;0,407271622844147;0,336212884085683;0,44862834817521;0,370681354326231;0,313605093876424;0,373776158506875;0,379621701373546;0,301044732786636;0,357411421750798;0,382652278338827;0,248000079994052;0,25891649823291;0,301642920127624;0,250373256089825;0,283139823112201;0,278663418735349;0,399696419910566;0,443626402429999;0,333422426264272;0,397745748514091;0,312423288235117;0,397150772757673;0,44463671967214;0,334856365205277;0,350243120608472;0,439699835796451;0,330379019476864;0,379412119948584;0,701889046976516;0,799214046820066;0,444487041657182;0,435455354022306;0,579233858417147;0,381527759071038;0,315369071062601;0,47690008522716;0,520259368167876;0,342778519650166
"F2A17";0,748785639068095;0,35790568076845;0,406680598994989;0,801746648963257;0,379900880118011;0,427764521768191;0,788928558836167;0,667096805906719;0,377557254173376;0,840127001079312;0,557223066597601;0,402369784476985;0,263676839914781;0,505035279993434;0,369741875992425;0;0,407637072769978;0,350839251649335;0,191771280231796;0,31665228218729;0,42091194418927;0,360352859763273;0,327331899127512;0,288281011696719;0,375150538617024;0,424830618960777;0,399619094512568;0,39941555198628;0,418624273723931;0,379840868919616;0,352621425969216;0,393351993778066;0,388489025892904;0,321730962685303;0,388597052213077;0,36188746429951;0,331327715910813;0,412648073239374;0,310334463429821;0,306362050057934;0,323565893067955;0,401429032878728;0,545618261016911;0,429025371727504;0,395274791147063;0,409969843100963;0,395239719413714;0,405092785872896;0,410738042092891;0,414097839837386;0,433013138200817;0,361869620486783;0,433977828280488;0,655445466578401;0,818659619128358;0,375477218800119;0,518038402829561;0,545954716105453;0,477180581709552;0,326677388463627;0,464478411546937;0,613498884583984;0,364879544966126
"F2F18";0,877500878454522;0,241796833487326;0,359052887958459;0,882282454034899;0,343545539415125;0,366718236730857;0,801038033382575;0,670433689149039;0,449309631663636;0,813894218803115;0,590876805941661;0,470992658091661;0,484432481553585;0,338164306559057;0,341934049366819;0,407637072769978;0;0,339722297117061;0,488487308630802;0,241170977751533;0,408625657035884;0,607994608771653;0,278030633648092;0,320240244556563;0,452228832679488;0,403436502174646;0,406367905605212;0,452782844661742;0,409014037255492;0,408587573804823;0,417785602370683;0,397309019099663;0,377979891686587;0,404043482519613;0,405369105782204;0,351517410283868;0,35195873188582;0,433868185625048;0,339336142518661;0,36119104257765;0,35762808730792;0,44656474119573;0,505425486258616;0,435085221231703;0,421126380580652;0,414204706003622;0,451141405085524;0,421914735106744;0,418920051382297;0,468494861893695;0,471121372125202;0,410834194105805;0,448595219677014;0,675561367138326;0,769575147907068;0,372342781457772;0,439031395186542;0,460162533396382;0,382525541402708;0,41205841365792;0,432413120874323;0,558205915540877;0,449567890368493
"F2A18";0,922891645317348;0,285612233894942;0,190274446044961;0,924714972955839;0,475958444262115;0,254719619332203;0,8580483979996;0,802709878388151;0,335050563033667;0,88670247188898;0,70306141230169;0,341968086013125;0,481748322482084;0,528975297722299;0,232122096877599;0,350839251649335;0,339722297117061;0;0,42881200034782;0,302556659501697;0,339155173231798;0,570725591542204;0,333328081723879;0,140457001581205;0,287577552319099;0,286767314675953;0,166154116470719;0,3118947354044;0,271486823171963;0,147557368317744;0,242220027168817;0,255997158346233;0,150121852424757;0,227492388606542;0,261845589992313;0,146919128864274;0,203813032683971;0,375332057623565;0,204211656156406;0,240023967006199;0,198275631493642;0,255160305081353;0,467802375348261;0,256957617253257;0,287346971469028;0,300235586498808;0,255334694775116;0,292116129999761;0,266808755387179;0,256125904503119;0,304601683816014;0,196428677575826;0,251654129532383;0,69412356703787;0,800456847762961;0,337511498070401;0,36263197961149;0,487719121831605;0,3136736532247;0,234983115495252;0,420735347821588;0,560054007362802;0,220483178399927
"F3A17";0,732007901953085;0,387421719579878;0,478115188851335;0,759113538784143;0,383348837786604;0,492513577320804;0,774438866089829;0,690732261084268;0,471301199154955;0,796890209385221;0,576125190246521;0,495130727348967;0,342441954133194;0,520901695444417;0,401656750281865;0,191771280231796;0,488487308630802;0,42881200034782;0;0,409665079306442;0,459905579710398;0,260099206664916;0,415861866920345;0,383295593551709;0,414162270483035;0,457309767491033;0,459546998739833;0,431483921546793;0,441703876842813;0,447674251147172;0,412979276778356;0,428794477121755;0,467131347211069;0,382877164949822;0,425654239736995;0,427376688584967;0,382695414942934;0,455174169064646;0,363184762037183;0,386954172420298;0,380053451649367;0,438404369495159;0,534453406803237;0,461568297282221;0,455061374987359;0,449978098451251;0,451447845914581;0,446699828747462;0,447947121963821;0,425552461390575;0,453291550391511;0,396486830431071;0,451665384357335;0,70890325492351;0,866687899267072;0,472880614337532;0,57308339717851;0,666775820112987;0,578404034635708;0,39926698785055;0,528656105311081;0,626664791297332;0,403742301336351
"F3F18";0,862793928219442;0,242071248201674;0,324998235357009;0,867121744482611;0,341397821165509;0,341959834054367;0,83418856218209;0,686900864994734;0,38583060558371;0,865642538323629;0,576928765785286;0,391441870931917;0,383012488064283;0,443283879381186;0,301272658038778;0,31665228218729;0,241170977751533;0,302556659501697;0,409665079306442;0;0,408674904769279;0,546480610297359;0,126707424792205;0,25941562788615;0,415082295576959;0,372055607487694;0,337762717350273;0,411438003343261;0,359024505460218;0,328644289264547;0,351620714196545;0,376385889306302;0,322519095867464;0,315592259438495;0,383937305543996;0,319532050802585;0,304558095023834;0,3812532734588;0,277394440176931;0,280440498915651;0,303170607412859;0,422281239279705;0,526244935744928;0,421144126448571;0,370570677589486;0,362016960230231;0,431818163703922;0,41873637490431;0,400844748680937;0,421246185905638;0,421355568918511;0,347848890158993;0,446020112395489;0,599991441881552;0,748594919930874;0,359087639079896;0,451294784451041;0,47707887810259;0,370548802138902;0,346440700758586;0,423696611361618;0,517106160389376;0,396031852525164
