Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+I,149,9241.7231495964,8037.89048370149,-3869.01387542994,0.340319858929239,n/a,1.19311297799903,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.07,0.04,0.11,0.05,0.13,0.06,0.05,0.22,0.06,0.09,0.07,0.04
K2+I,145,9242.60037402944,8071.03673016676,-3889.63631850199,0.34947042299968,n/a,1.21317533626113,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
GTR+I,152,9248.99565648072,8020.96299608207,-3857.51225573046,0.339767004949372,n/a,1.20234437345632,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.05,0.03,0.11,0.04,0.13,0.07,0.04,0.22,0.09,0.1,0.07,0.06
T92+I,146,9256.02510473633,8076.3939522831,-3891.30272614155,0.348343457625073,n/a,1.20205697195706,0.268149252495134,0.268149252495134,0.231850747504866,0.231850747504866,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
HKY+I,148,9259.88656896808,8064.12090547765,-3883.14154282967,0.346696576814942,n/a,1.21463119541909,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.07,0.04,0.16,0.05,0.1,0.06,0.05,0.16,0.06,0.13,0.07,0.04
JC+I,144,9340.49137458377,8176.99540799815,-3943.62777649303,0.34812047088453,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,151,9471.54594152953,8251.57977715941,-3973.83335596874,n/a,n/a,1.17250773687948,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.04,0.03,0.1,0.03,0.14,0.06,0.04,0.23,0.11,0.09,0.07,0.07
TN93,148,9480.13553632728,8284.36987283685,-3993.26602650927,n/a,n/a,1.17694090027998,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.07,0.04,0.1,0.05,0.14,0.06,0.05,0.23,0.06,0.09,0.07,0.04
K2,144,9504.2719063587,8340.77593977308,-4025.5180423805,n/a,n/a,1.14782309431578,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
T92,145,9511.92092583066,8340.35728196798,-4024.2965944026,n/a,n/a,1.14729233507485,0.268149252495134,0.268149252495134,0.231850747504866,0.231850747504866,0.06,0.05,0.12,0.06,0.12,0.05,0.06,0.14,0.05,0.14,0.06,0.05
HKY,147,9513.75395451616,8326.05546217998,-4015.12119331758,n/a,n/a,1.15652260987536,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.07,0.04,0.16,0.05,0.1,0.07,0.05,0.16,0.07,0.13,0.07,0.04
JC,143,9596.90709771056,8441.47897706743,-4076.88159577031,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
