;ASV;Type
1191;ASV3539;Other
1192;ASV3568;Other
1193;ASV3572;Other
1194;ASV3606;Other
1195;ASV3621;Other
1196;ASV3643;Other
1197;ASV3644;Other
1198;ASV3650;Other
1199;ASV3657;Other
1200;ASV3658;Other
1201;ASV3659;Other
1202;ASV3661;Other
1203;ASV3662;Other
1204;ASV3701;Other
1205;ASV3702;Other
1206;ASV3703;Other
1207;ASV3708;Other
1208;ASV3716;Other
1209;ASV3718;Other
1210;ASV3733;Other
1211;ASV3753;Other
1212;ASV3755;Other
1213;ASV3767;Other
1214;ASV3777;Other
1215;ASV3785;Other
1216;ASV3816;Other
1217;ASV3869;Other
1218;ASV3886;Other
1219;ASV3887;Other
1220;ASV3907;Other
1221;ASV3911;Other
1222;ASV3920;Other
1223;ASV3926;Other
1224;ASV3929;Other
1225;ASV3937;Other
1226;ASV3956;Other
1227;ASV3961;Other
1228;ASV3978;Other
1229;ASV3982;Other
1230;ASV3988;Other
1231;ASV3995;Other
1232;ASV4011;Other
1233;ASV4017;Other
1234;ASV4049;Other
1235;ASV4052;Other
1236;ASV4056;Other
1237;ASV4069;Other
1238;ASV4077;Other
1239;ASV4091;Other
1240;ASV4115;Other
1241;ASV4117;Other
1242;ASV4118;Other
1243;ASV4122;Other
1244;ASV4123;Other
1245;ASV4135;Other
1246;ASV4138;Other
1247;ASV4143;Other
1248;ASV4159;Other
1249;ASV4160;Other
1250;ASV4175;Other
1251;ASV4180;Other
1252;ASV4211;Other
1253;ASV4214;Other
1254;ASV4250;Other
1255;ASV4256;Other
1256;ASV4266;Other
1257;ASV4267;Other
1258;ASV4269;Other
1259;ASV4275;Other
1260;ASV4282;Other
1261;ASV4295;Other
1262;ASV4303;Other
1263;ASV4332;Other
1264;ASV4348;Other
1265;ASV4353;Other
1266;ASV4357;Other
1267;ASV4359;Other
1268;ASV4430;Other
1269;ASV4442;Other
1270;ASV4444;Other
1271;ASV4447;Other
1272;ASV4461;Other
1273;ASV4524;Other
1274;ASV4538;Other
1275;ASV4607;Other
1276;ASV4608;Other
1277;ASV4634;Other
1278;ASV4635;Other
1279;ASV4693;Other
1280;ASV4700;Other
1281;ASV4703;Other
1282;ASV4706;Other
1283;ASV4707;Other
1284;ASV4717;Other
1285;ASV4729;Other
1286;ASV4797;Other
1287;ASV4843;Other
1288;ASV4857;Other
1289;ASV4870;Other
1290;ASV4872;Other
1291;ASV4917;Other
1292;ASV4934;Other
1293;ASV4939;Other
1294;ASV5053;Other
1295;ASV5076;Other
1296;ASV5104;Other
1297;ASV5204;Other
1298;ASV5325;Other
1299;ASV5347;Other
1300;ASV5350;Other
1301;ASV5368;Other
1302;ASV5407;Other
1303;ASV5459;Other
1304;ASV5460;Other
1305;ASV5463;Other
1306;ASV5467;Other
1307;ASV5468;Other
1308;ASV5469;Other
1309;ASV5470;Other
1310;ASV5644;Other
1311;ASV5648;Other
1312;ASV5649;Other
1313;ASV5653;Other
1314;ASV5726;Other
1315;ASV5753;Other
1316;ASV5802;Other
1317;ASV5804;Other
1318;ASV5806;Other
1319;ASV5812;Other
1320;ASV6004;Other
1321;ASV6013;Other
1322;ASV6099;Other
