;ASV;Type
141;ASV3668;Unique
142;ASV3990;Unique
143;ASV4073;Unique
144;ASV4131;Unique
145;ASV4183;Unique
146;ASV4184;Unique
147;ASV4185;Unique
148;ASV4186;Unique
149;ASV4187;Unique
150;ASV4188;Unique
151;ASV4193;Unique
152;ASV4263;Unique
153;ASV4452;Unique
154;ASV4453;Unique
155;ASV4544;Unique
156;ASV4546;Unique
157;ASV4620;Unique
158;ASV4621;Unique
159;ASV4719;Unique
160;ASV4725;Unique
161;ASV4815;Unique
162;ASV4816;Unique
163;ASV4826;Unique
164;ASV4942;Unique
165;ASV4950;Unique
166;ASV5087;Unique
167;ASV5207;Unique
168;ASV5345;Unique
169;ASV5355;Unique
170;ASV5655;Unique
171;ASV5666;Unique
172;ASV5672;Unique
173;ASV5813;Unique
174;ASV5814;Unique
175;ASV5818;Unique
176;ASV6014;Unique
177;ASV6024;Unique
178;ASV6044;Unique
179;ASV0573;Unique
180;ASV0634;Unique
181;ASV2069;Unique
182;ASV2167;Unique
183;ASV2322;Unique
184;ASV2323;Unique
185;ASV2514;Unique
186;ASV2604;Unique
187;ASV2844;Unique
188;ASV2887;Unique
189;ASV2946;Unique
190;ASV3027;Unique
191;ASV3183;Unique
192;ASV3320;Unique
193;ASV3580;Unique
194;ASV3722;Unique
195;ASV3772;Unique
196;ASV3822;Unique
197;ASV4007;Unique
198;ASV4076;Unique
199;ASV4204;Unique
200;ASV4273;Unique
201;ASV4548;Unique
202;ASV4565;Unique
203;ASV4732;Unique
204;ASV4846;Unique
205;ASV4848;Unique
206;ASV4852;Unique
207;ASV4856;Unique
208;ASV4858;Unique
209;ASV4970;Unique
210;ASV4973;Unique
211;ASV5221;Unique
212;ASV5230;Unique
213;ASV5233;Unique
214;ASV5234;Unique
215;ASV5236;Unique
216;ASV5242;Unique
217;ASV5370;Unique
218;ASV5513;Unique
219;ASV5517;Unique
220;ASV5520;Unique
221;ASV5529;Unique
222;ASV5530;Unique
223;ASV5532;Unique
224;ASV5534;Unique
225;ASV5684;Unique
226;ASV5692;Unique
227;ASV5701;Unique
228;ASV5706;Unique
229;ASV5845;Unique
230;ASV5846;Unique
231;ASV5850;Unique
232;ASV5859;Unique
233;ASV5868;Unique
234;ASV6068;Unique
235;ASV6072;Unique
236;ASV6078;Unique
237;ASV6081;Unique
238;ASV6084;Unique
239;ASV6085;Unique
240;ASV6086;Unique
241;ASV6087;Unique
242;ASV0343;Unique
243;ASV0449;Unique
244;ASV2544;Unique
245;ASV2742;Unique
246;ASV3127;Unique
247;ASV3227;Unique
248;ASV3325;Unique
249;ASV3394;Unique
250;ASV3506;Unique
251;ASV3586;Unique
252;ASV3587;Unique
253;ASV3778;Unique
254;ASV3888;Unique
255;ASV3954;Unique
256;ASV3958;Unique
257;ASV4012;Unique
258;ASV4016;Unique
259;ASV4018;Unique
260;ASV4090;Unique
261;ASV4292;Unique
262;ASV4478;Unique
263;ASV4660;Unique
264;ASV4742;Unique
265;ASV4744;Unique
266;ASV4866;Unique
267;ASV4869;Unique
268;ASV4983;Unique
269;ASV4987;Unique
270;ASV4992;Unique
271;ASV5119;Unique
272;ASV5120;Unique
273;ASV5248;Unique
274;ASV5251;Unique
275;ASV5253;Unique
276;ASV5255;Unique
277;ASV5542;Unique
278;ASV5543;Unique
279;ASV5546;Unique
280;ASV5550;Unique
281;ASV5552;Unique
282;ASV5553;Unique
283;ASV5730;Unique
284;ASV5888;Unique
285;ASV5889;Unique
286;ASV6094;Unique
287;ASV6104;Unique
288;ASV0262;Unique
289;ASV0316;Unique
290;ASV0374;Unique
291;ASV0975;Unique
292;ASV0977;Unique
293;ASV1004;Unique
294;ASV1478;Unique
295;ASV1567;Unique
296;ASV1587;Unique
297;ASV1645;Unique
298;ASV1660;Unique
299;ASV1806;Unique
300;ASV1842;Unique
301;ASV2125;Unique
302;ASV2329;Unique
303;ASV2333;Unique
304;ASV2562;Unique
305;ASV2646;Unique
306;ASV2647;Unique
307;ASV2724;Unique
308;ASV2951;Unique
309;ASV2953;Unique
310;ASV2980;Unique
311;ASV3059;Unique
312;ASV3062;Unique
313;ASV3089;Unique
314;ASV3091;Unique
315;ASV3131;Unique
316;ASV3132;Unique
317;ASV3157;Unique
318;ASV3158;Unique
319;ASV3160;Unique
320;ASV3193;Unique
321;ASV3233;Unique
322;ASV3270;Unique
323;ASV3272;Unique
324;ASV3275;Unique
325;ASV3276;Unique
326;ASV3277;Unique
327;ASV3278;Unique
328;ASV3279;Unique
329;ASV3329;Unique
330;ASV3365;Unique
331;ASV3400;Unique
332;ASV3402;Unique
333;ASV3437;Unique
334;ASV3474;Unique
335;ASV3476;Unique
336;ASV3688;Unique
337;ASV3779;Unique
338;ASV3783;Unique
339;ASV3784;Unique
340;ASV3788;Unique
341;ASV3833;Unique
342;ASV3836;Unique
343;ASV3840;Unique
344;ASV3841;Unique
345;ASV3892;Unique
346;ASV3893;Unique
347;ASV3894;Unique
348;ASV3965;Unique
349;ASV4024;Unique
350;ASV4025;Unique
351;ASV4099;Unique
352;ASV4223;Unique
353;ASV4225;Unique
354;ASV4300;Unique
355;ASV4305;Unique
356;ASV4306;Unique
357;ASV4307;Unique
358;ASV4311;Unique
359;ASV4393;Unique
360;ASV4395;Unique
361;ASV4399;Unique
362;ASV4402;Unique
363;ASV4403;Unique
364;ASV4404;Unique
365;ASV4405;Unique
366;ASV4489;Unique
367;ASV4490;Unique
368;ASV4491;Unique
369;ASV4584;Unique
370;ASV4669;Unique
371;ASV4670;Unique
372;ASV4672;Unique
373;ASV4751;Unique
374;ASV4759;Unique
375;ASV4762;Unique
376;ASV4882;Unique
377;ASV4884;Unique
378;ASV4999;Unique
379;ASV5002;Unique
380;ASV5009;Unique
381;ASV5123;Unique
382;ASV5128;Unique
383;ASV5130;Unique
384;ASV5131;Unique
385;ASV5258;Unique
386;ASV5259;Unique
387;ASV5261;Unique
388;ASV5272;Unique
389;ASV5278;Unique
390;ASV5282;Unique
391;ASV5283;Unique
392;ASV5289;Unique
393;ASV5408;Unique
394;ASV5415;Unique
395;ASV5421;Unique
396;ASV5422;Unique
397;ASV5424;Unique
398;ASV5426;Unique
399;ASV5559;Unique
400;ASV5561;Unique
401;ASV5562;Unique
402;ASV5564;Unique
403;ASV5733;Unique
404;ASV5743;Unique
405;ASV5744;Unique
406;ASV5747;Unique
407;ASV5755;Unique
408;ASV5892;Unique
409;ASV5900;Unique
410;ASV5911;Unique
411;ASV5914;Unique
412;ASV5915;Unique
413;ASV5920;Unique
414;ASV5921;Unique
415;ASV5923;Unique
416;ASV6108;Unique
417;ASV6109;Unique
418;ASV6112;Unique
419;ASV6115;Unique
420;ASV6124;Unique
421;ASV6125;Unique
422;ASV6128;Unique
423;ASV6129;Unique
424;ASV6130;Unique
425;ASV6131;Unique
426;ASV6133;Unique
427;ASV6136;Unique
428;ASV6137;Unique
429;ASV6143;Unique
430;ASV0603;Unique
431;ASV1107;Unique
432;ASV1260;Unique
433;ASV1328;Unique
434;ASV1341;Unique
435;ASV1347;Unique
436;ASV1348;Unique
437;ASV1406;Unique
438;ASV1453;Unique
439;ASV1568;Unique
440;ASV1760;Unique
441;ASV1831;Unique
442;ASV1989;Unique
443;ASV2050;Unique
444;ASV2121;Unique
445;ASV2126;Unique
446;ASV2203;Unique
447;ASV2227;Unique
448;ASV2228;Unique
449;ASV2262;Unique
450;ASV2263;Unique
451;ASV2336;Unique
452;ASV2350;Unique
453;ASV2384;Unique
454;ASV2444;Unique
455;ASV2461;Unique
456;ASV2482;Unique
457;ASV2503;Unique
458;ASV2524;Unique
459;ASV2565;Unique
460;ASV2566;Unique
461;ASV2662;Unique
462;ASV2665;Unique
463;ASV2683;Unique
464;ASV2726;Unique
465;ASV2727;Unique
466;ASV2746;Unique
467;ASV2774;Unique
468;ASV2823;Unique
469;ASV2852;Unique
470;ASV2870;Unique
471;ASV2922;Unique
472;ASV2923;Unique
473;ASV2926;Unique
474;ASV2954;Unique
475;ASV2955;Unique
476;ASV2965;Unique
477;ASV3010;Unique
478;ASV3042;Unique
479;ASV3065;Unique
480;ASV3134;Unique
481;ASV3135;Unique
482;ASV3170;Unique
483;ASV3238;Unique
484;ASV3281;Unique
485;ASV3285;Unique
486;ASV3332;Unique
487;ASV3333;Unique
488;ASV3334;Unique
489;ASV3376;Unique
490;ASV3404;Unique
491;ASV3445;Unique
492;ASV3519;Unique
493;ASV3520;Unique
494;ASV3559;Unique
495;ASV3592;Unique
496;ASV3695;Unique
497;ASV3748;Unique
498;ASV3749;Unique
499;ASV3796;Unique
500;ASV3800;Unique
501;ASV3846;Unique
502;ASV3973;Unique
503;ASV4031;Unique
504;ASV4033;Unique
505;ASV4107;Unique
506;ASV4111;Unique
507;ASV4167;Unique
508;ASV4231;Unique
509;ASV4243;Unique
