"";"Type";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18"
"ASV0036";"Shared";0;132;155;0;0;93;0;0;20;0;0;37;28;0;108;33;32;252;0;51;47;0;54;177;345;562;418;366;462;363;337;506;350;287;549;364;273;14;233;215;226;0;0;37;62;26;87;257;0;0;402;250;42;119;166;214;379;199;98;182;220;271;345
"ASV0037";"Shared";0;0;0;0;0;0;58;0;0;0;0;0;0;0;737;89;0;210;80;0;1214;92;0;288;93;0;0;67;0;0;42;69;82;0;48;107;682;388;588;242;378;0;0;0;86;0;41;315;20;0;244;116;235;441;0;1234;203;78;254;567;0;293;446
"ASV0038";"Shared";0;66;73;0;6;58;0;2;119;0;1;199;65;0;76;110;20;161;32;55;48;10;47;174;90;486;297;105;468;281;129;905;226;204;602;457;358;27;337;239;403;0;0;30;0;0;15;510;12;0;639;202;0;107;140;81;191;176;32;210;243;147;95
"ASV0039";"Shared";24;0;0;0;0;0;31;0;49;42;0;0;0;9;667;76;0;168;80;0;1116;112;0;265;83;0;0;26;0;0;87;0;26;0;137;106;612;343;542;195;346;0;0;0;54;0;88;322;0;0;229;110;211;407;0;1091;165;0;258;516;0;324;418
"ASV0040";"Shared";0;60;184;0;45;109;0;22;83;0;0;93;340;0;241;124;80;174;0;344;116;91;325;436;72;161;192;55;213;227;203;202;231;166;148;306;121;54;257;329;141;80;72;91;87;138;667;220;64;55;121;73;59;104;158;178;297;93;46;138;39;138;262
"ASV0041";"Other";77;171;0;0;443;0;1350;3860;23;46;2298;0;0;81;0;0;12;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;6;53;128;32;60;33;104;0;33;161;0;0;0;0;0;50;0;0;0;0;0;74;0
"ASV0042";"Shared";0;0;0;0;0;0;30;0;0;0;89;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;121;0;0;0;0;0;0;0;0;0;219;3324;106;0;0;0;89;0;109;100;0;0;93;0;0;2215;0;1365;58;0;0;1020;0;0;0
"ASV0043";"Shared";0;84;161;0;42;101;0;0;63;0;0;123;399;0;208;178;42;172;49;308;86;0;267;389;55;138;188;75;216;159;168;193;263;200;127;229;115;52;238;317;131;117;40;77;81;117;677;207;43;111;104;98;0;111;151;165;300;85;49;131;52;151;252
"ASV0045";"Shared";56;142;0;0;396;0;1345;3721;60;0;2057;0;0;81;0;0;9;0;0;7;0;0;4;0;0;0;0;0;0;0;0;0;17;0;0;0;0;3;0;0;0;75;129;35;55;32;90;0;0;125;0;0;0;0;0;61;0;0;35;26;0;40;0
"ASV0046";"Other";0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0;0;0;0;195;3173;0;0;0;0;85;0;104;58;0;0;78;0;0;2172;0;1326;74;0;0;1020;0;0;22
"ASV0048";"Shared";0;232;330;0;70;674;0;98;187;0;35;169;0;51;1019;38;121;354;0;43;1332;0;79;290;46;57;115;0;40;115;48;59;153;0;54;863;437;78;250;115;235;0;0;0;23;0;71;63;0;54;0;16;0;65;0;37;65;0;35;94;0;0;0
"ASV0050";"Shared";0;121;133;0;0;70;0;0;22;0;0;29;28;0;87;18;20;222;0;55;46;0;35;104;284;388;310;281;377;291;273;406;262;209;400;279;166;24;192;116;145;0;0;32;48;17;65;185;0;0;267;178;18;125;124;219;292;159;71;140;171;175;293
"ASV0052";"Shared";2517;121;74;91;101;37;46;273;149;58;223;166;280;0;0;234;75;48;92;64;0;0;0;0;906;43;43;560;0;50;146;39;0;170;42;161;0;85;78;0;0;22;0;125;48;129;56;109;80;0;0;20;0;0;0;0;0;0;15;97;0;61;56
"ASV0053";"Shared";0;80;94;0;0;70;0;0;18;0;0;14;13;0;85;26;17;182;0;37;49;0;38;108;268;415;336;257;322;261;236;356;229;214;377;234;182;17;172;131;160;0;0;14;50;22;46;181;0;0;249;166;15;100;107;197;266;166;92;137;158;197;236
"ASV0054";"Other";0;123;0;0;527;0;0;359;0;0;232;0;0;3294;0;0;1873;0;0;394;0;0;374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;15;5;26;42;0;0;3;0;15;0;0;0;12;0;0;0;0;0;0;0
"ASV0056";"Shared";0;41;767;0;21;425;0;8;612;0;0;964;78;30;57;92;59;194;0;68;30;0;120;131;86;47;261;52;34;307;109;35;184;252;40;530;314;14;273;211;252;0;0;33;0;62;44;62;49;0;3;13;21;0;10;24;0;0;28;0;9;98;0
"ASV0063";"Shared";0;82;100;10;110;85;0;149;147;0;48;182;716;43;197;213;12;132;82;109;62;80;117;206;92;104;83;47;83;137;111;101;90;144;51;221;112;56;126;103;68;0;0;0;0;17;54;82;34;0;127;86;45;110;159;86;92;150;25;98;92;84;77
"ASV0064";"Shared";0;168;300;0;40;475;0;0;131;0;20;123;0;35;715;0;62;246;56;38;951;73;0;221;0;0;99;0;78;65;0;75;127;0;51;633;330;61;187;80;192;0;0;0;21;0;58;0;0;29;0;0;45;37;0;35;0;0;0;62;0;46;28
